Accession_number	Start	End	Prediction_method
NZ_CP015168	163951	208546	Dimob
NZ_CP015168	257877	262881	Dimob
NZ_CP015168	275970	297437	Dimob
NZ_CP015168	373110	380136	Dimob
NZ_CP015168	395104	438448	Dimob
NZ_CP015168	840331	855382	Dimob
NZ_CP015168	1083810	1096479	Dimob
NZ_CP015168	1232207	1244480	Dimob
NZ_CP015168	1296529	1339522	Dimob
NZ_CP015168	1362817	1393957	Dimob
NZ_CP015168	1539852	1570284	Dimob
NZ_CP015168	1635336	1643889	Dimob
NZ_CP015168	1649487	1661264	Dimob
NZ_CP015168	1885013	1921585	Dimob
NZ_CP015168	1963200	1968980	Dimob
NZ_CP015168	2022227	2063823	Dimob
NZ_CP015168	2078539	2088659	Dimob
NZ_CP015168	2126913	2160807	Dimob
NZ_CP015168	2670035	2686331	Dimob
NC_016894	150925	175271	Dimob
NC_016894	736524	750000	Dimob
NC_016894	1270955	1289960	Dimob
NC_016894	1324761	1357385	Dimob
NC_016894	1376737	1409721	Dimob
NC_016894	1542077	1564324	Dimob
NC_016894	1663039	1680429	Dimob
NC_016894	2000246	2010603	Dimob
NC_016894	3117952	3152490	Dimob
NC_016894	3582570	3611985	Dimob
NC_016894	3893228	3931721	Dimob
NC_016894	3941398	3974488	Dimob
NC_016894	3990088	4006646	Dimob
NC_014378	965872	983147	Dimob
NC_014378	1440849	1448169	Dimob
NC_014378	2013396	2037152	Dimob
NC_014378	2079617	2091883	Dimob
NC_014378	2255253	2267661	Dimob
NC_010163	607408	667763	Dimob
NC_010163	805767	818126	Dimob
NC_014640	1127044	1210687	Dimob
NC_014640	2154027	2203769	Dimob
NC_014640	4029421	4052316	Dimob
NC_014640	4298023	4345330	Dimob
NC_014640	4935719	4963056	Dimob
NC_014640	6523881	6530764	Dimob
NC_014640	6824876	6843931	Dimob
NZ_CP009448	310925	324713	Dimob
NZ_CP009448	1811657	1818900	Dimob
NZ_CP009448	3795776	3825379	Dimob
NZ_CP009448	5564465	5576411	Dimob
NZ_CP009448	5898406	5911383	Dimob
NZ_LN831029	1150005	1193782	Dimob
NZ_LN831029	1991972	1999396	Dimob
NZ_LN831029	3124890	3129856	Dimob
NZ_LN831029	3776752	3809286	Dimob
NZ_LN831029	3848723	3854805	Dimob
NZ_LN831029	4162652	4217812	Dimob
NZ_LN831029	4999062	5006144	Dimob
NZ_LN831029	5847950	5863685	Dimob
NZ_LN831029	6104954	6117332	Dimob
NZ_LN831029	6241220	6335100	Dimob
NZ_LN831029	6580528	6593487	Dimob
NZ_CP014060	919091	943095	Dimob
NZ_CP014060	1959549	1981363	Dimob
NZ_CP014060	1988569	2013087	Dimob
NZ_CP014060	3838910	3854503	Dimob
NZ_CP014060	3971397	4002057	Dimob
NZ_CP014060	4834591	4855634	Dimob
NZ_CP014060	6743805	6794295	Dimob
NC_013740	846474	872777	Dimob
NC_013740	1182904	1214123	Dimob
NC_013740	1259651	1296637	Dimob
NC_013740	1838726	1849177	Dimob
NC_013740	1949084	1966998	Dimob
NC_013740	2119498	2158434	Dimob
NC_013740	2226787	2234591	Dimob
NC_016077	665155	716205	Dimob
NC_016077	1260624	1292859	Dimob
NC_016077	1331206	1409075	Dimob
NC_016077	1540196	1546250	Dimob
NC_016077	1832255	1837172	Dimob
NC_016077	1881923	1976922	Dimob
NC_013124	56594	72292	Dimob
NC_013124	157557	161703	Dimob
NC_013124	304760	316884	Dimob
NC_013124	505644	523906	Dimob
NC_013124	533164	559259	Dimob
NC_013124	678947	684215	Dimob
NC_013124	994325	1007752	Dimob
NC_013124	1360086	1376555	Dimob
NC_013124	1443229	1462488	Dimob
NC_013124	1545903	1560573	Dimob
NC_013124	1740085	1744829	Dimob
NC_013124	1924277	1931037	Dimob
NC_013124	1947414	1955326	Dimob
NC_013124	2066979	2079117	Dimob
NC_013124	2130157	2136243	Dimob
NC_009484	102503	142172	Dimob
NC_009484	329312	355302	Dimob
NC_009484	775340	790440	Dimob
NC_009484	865696	920561	Dimob
NC_009484	1294492	1319425	Dimob
NC_009484	1431994	1447442	Dimob
NC_009484	1627734	1642149	Dimob
NC_009484	2522262	2539299	Dimob
NC_009484	2663412	2685497	Dimob
NC_009484	2708493	2720560	Dimob
NC_015186	49297	65803	Dimob
NC_015186	133748	173175	Dimob
NC_015186	468929	514652	Dimob
NC_015186	816870	834940	Dimob
NC_015186	972428	985758	Dimob
NC_015186	1141118	1181413	Dimob
NC_015186	1497488	1503133	Dimob
NC_015186	1697996	1711671	Dimob
NC_015186	2068883	2093620	Dimob
NC_015186	2132704	2163446	Dimob
NC_015186	2197236	2212677	Dimob
NC_015186	2222198	2233351	Dimob
NC_015186	2252639	2283791	Dimob
NC_015186	2733867	2746573	Dimob
NC_015186	2830116	2838385	Dimob
NC_015186	2875489	2927586	Dimob
NC_015186	3275714	3285163	Dimob
NC_015186	3426131	3437224	Dimob
NC_015186	3445426	3452969	Dimob
NC_015186	3682895	3688549	Dimob
NZ_CP005986	90671	152098	Dimob
NZ_CP005986	627039	657798	Dimob
NZ_CP005986	1368281	1392547	Dimob
NZ_CP005986	1800384	1849606	Dimob
NZ_CP005986	1894674	1940281	Dimob
NZ_CP005986	1952968	1980282	Dimob
NZ_CP005986	2626390	2643781	Dimob
NC_015850	183349	192827	Dimob
NC_015850	744343	764207	Dimob
NC_015850	877956	899966	Dimob
NC_015850	1200776	1304031	Dimob
NC_015850	1631679	1649170	Dimob
NC_015850	2021816	2028085	Dimob
NC_015850	2783127	2818024	Dimob
NC_015942	363417	370770	Dimob
NC_015942	413373	458758	Dimob
NC_015942	506005	552993	Dimob
NC_015942	762731	775762	Dimob
NC_015942	886867	907319	Dimob
NC_015942	1052181	1062346	Dimob
NC_015942	1200422	1204657	Dimob
NC_015942	1943223	1958482	Dimob
NC_015942	2278563	2321475	Dimob
NC_015942	2350250	2373113	Dimob
NC_015942	2552720	2569592	Dimob
NC_015942	3097426	3108520	Dimob
NC_011206	108222	116220	Dimob
NC_011206	206554	232821	Dimob
NC_011206	1369238	1389847	Dimob
NC_011206	1736153	1747267	Dimob
NC_011206	2764687	2782125	Dimob
NC_011761	745902	775333	Dimob
NC_011761	934667	945923	Dimob
NC_011761	1089174	1124777	Dimob
NC_011761	1380702	1402920	Dimob
NC_011761	2411754	2417049	Dimob
NC_011761	2861419	2877951	Dimob
NC_012483	424178	456159	Dimob
NC_012483	729287	756003	Dimob
NC_012483	1332749	1405690	Dimob
NC_012483	1573082	1584735	Dimob
NC_012483	1819752	1863795	Dimob
NC_012483	1875427	1886725	Dimob
NC_012483	3001735	3032597	Dimob
NC_012483	3072413	3080139	Dimob
NC_008578	1035968	1056936	Dimob
NC_015138	289363	305338	Dimob
NC_015138	697049	725193	Dimob
NC_015138	776752	816935	Dimob
NC_015138	1147466	1158198	Dimob
NC_015138	1216267	1232873	Dimob
NC_015138	2076835	2096968	Dimob
NC_015138	2786639	2801839	Dimob
NC_015138	4105200	4123729	Dimob
NC_015138	4208853	4224731	Dimob
NC_008752	552529	558153	Dimob
NC_008752	588652	604010	Dimob
NC_008752	729805	747397	Dimob
NC_008752	761576	769420	Dimob
NC_008752	1783551	1786947	Dimob
NC_008752	1858787	1869902	Dimob
NC_008752	1910042	1932782	Dimob
NC_008752	2614826	2634213	Dimob
NC_008752	2732687	2741751	Dimob
NC_008752	2939376	2989655	Dimob
NC_008752	3173430	3210873	Dimob
NC_008752	3512697	3523979	Dimob
NC_008752	3704782	3717899	Dimob
NC_008752	4208051	4221978	Dimob
NC_008752	4579836	4584105	Dimob
NC_008752	5114876	5154469	Dimob
NC_011992	1052210	1060914	Dimob
NC_011992	1325211	1359159	Dimob
NC_011992	1646668	1663249	Dimob
NC_011992	2275170	2338673	Dimob
NC_011992	3379833	3473819	Dimob
NC_011992	3556019	3569796	Dimob
NC_011992	3749723	3788890	Dimob
NC_008782	333098	345395	Dimob
NC_008782	582205	616297	Dimob
NC_008782	1357209	1375100	Dimob
NC_008782	1494669	1502156	Dimob
NC_008782	1534916	1589751	Dimob
NC_008782	1607893	1646404	Dimob
NC_008782	1922640	1968223	Dimob
NC_008782	2283178	2369252	Dimob
NC_008782	2567341	2592885	Dimob
NC_008782	2609863	2620654	Dimob
NC_008782	2797589	2824029	Dimob
NC_008782	2837918	2866889	Dimob
NC_008782	3111327	3136246	Dimob
NC_008782	3175779	3250646	Dimob
NC_008782	3555809	3568176	Dimob
NC_008782	4137896	4152352	Dimob
NC_018708	1280449	1287886	Dimob
NC_018708	1293785	1365077	Dimob
NC_018708	1597427	1610058	Dimob
NC_018708	2145589	2150246	Dimob
NC_018708	2244220	2266335	Dimob
NC_018708	3051113	3105864	Dimob
NC_018708	3136184	3210608	Dimob
NC_018708	3266144	3273017	Dimob
NC_018708	3433942	3520696	Dimob
NC_018708	3694621	3726380	Dimob
NC_018708	4893323	4902652	Dimob
NC_010611	249114	265431	Dimob
NC_010611	751940	810340	Dimob
NC_010611	960374	970898	Dimob
NC_010611	1139678	1156372	Dimob
NC_010611	1307622	1318656	Dimob
NC_010611	1648652	1655668	Dimob
NC_010611	2332958	2360711	Dimob
NC_010611	3112089	3156399	Dimob
NC_011595	234027	282853	Dimob
NC_011595	2115837	2124824	Dimob
NC_011595	2462981	2469290	Dimob
NC_011595	2478322	2501019	Dimob
NC_011595	2677870	2706127	Dimob
NC_011586	263727	327693	Dimob
NC_011586	578552	585738	Dimob
NC_011586	967752	977787	Dimob
NC_011586	1448975	1467321	Dimob
NC_011586	1821124	1828141	Dimob
NC_011586	2761822	2774396	Dimob
NC_011586	3213037	3262936	Dimob
NC_011586	3344062	3365564	Dimob
NC_010410	566599	572089	Dimob
NC_010410	1307527	1322721	Dimob
NC_010410	1811911	1827325	Dimob
NC_010410	1913419	1933851	Dimob
NC_010410	2192554	2200129	Dimob
NC_010410	2395639	2406996	Dimob
NC_010410	2479826	2516814	Dimob
NC_010410	2542555	2548864	Dimob
NC_010410	2557896	2574939	Dimob
NC_010410	2686595	2697551	Dimob
NC_010410	2727270	2742991	Dimob
NC_010410	3608899	3693494	Dimob
NC_020547	595854	635251	Dimob
NC_020547	1133816	1153765	Dimob
NC_020547	1225325	1234450	Dimob
NC_020547	1246450	1268665	Dimob
NC_020547	1323278	1354775	Dimob
NC_020547	1447079	1464532	Dimob
NC_020547	1486942	1496827	Dimob
NC_020547	3414827	3450716	Dimob
NC_017847	236917	256138	Dimob
NC_017847	640155	647440	Dimob
NC_017847	1377093	1386279	Dimob
NC_017847	1572790	1577339	Dimob
NC_017847	1609484	1616722	Dimob
NC_017847	2237205	2244782	Dimob
NC_017847	2577132	2586971	Dimob
NC_017847	2659415	2676543	Dimob
NC_017847	2762413	2828626	Dimob
NC_017847	3125473	3181371	Dimob
NC_017847	3671628	3709809	Dimob
NC_017162	257928	283067	Dimob
NC_017162	782694	841042	Dimob
NC_017162	1162707	1188369	Dimob
NC_017162	1232571	1251530	Dimob
NC_017162	1467532	1502354	Dimob
NC_017162	1619097	1659786	Dimob
NC_017162	1758692	1770917	Dimob
NC_017162	1985720	1998539	Dimob
NC_017162	2107535	2114551	Dimob
NC_017162	2444313	2451332	Dimob
NC_017162	2745327	2761604	Dimob
NC_017162	2858269	2876857	Dimob
NC_017162	3150936	3199093	Dimob
NC_017162	3706034	3718981	Dimob
NC_017171	89366	95667	Dimob
NC_017171	255626	295904	Dimob
NC_017171	781669	838983	Dimob
NC_017171	991402	1017570	Dimob
NC_017171	1051594	1077490	Dimob
NC_017171	1252176	1271275	Dimob
NC_017171	1320849	1352666	Dimob
NC_017171	1419347	1430385	Dimob
NC_017171	1760823	1767839	Dimob
NC_017171	2051806	2057457	Dimob
NC_017171	2400136	2422265	Dimob
NC_017171	2878160	2927008	Dimob
NC_017171	3352810	3360105	Dimob
NC_018706	475703	518956	Dimob
NC_018706	1003936	1061251	Dimob
NC_018706	1211454	1239651	Dimob
NC_018706	1460573	1509775	Dimob
NC_018706	1672655	1683240	Dimob
NC_018706	2004059	2011075	Dimob
NC_018706	2818297	2829521	Dimob
NC_018706	3380063	3424339	Dimob
NC_021726	264505	308947	Dimob
NC_021726	794855	852170	Dimob
NC_021726	1002374	1030571	Dimob
NC_021726	1255600	1297331	Dimob
NC_021726	1360361	1373630	Dimob
NC_021726	1444147	1455181	Dimob
NC_021726	1632433	1657135	Dimob
NC_021726	1999104	2005599	Dimob
NC_021726	3327923	3335231	Dimob
NC_021733	628399	657071	Dimob
NC_021733	981705	1009902	Dimob
NC_021733	1062663	1091323	Dimob
NC_021733	1260046	1275001	Dimob
NC_021733	1465324	1475914	Dimob
NC_021733	1690801	1700487	Dimob
NC_021733	2115447	2135523	Dimob
NC_021733	2440798	2449515	Dimob
NC_021733	2537900	2584312	Dimob
NC_021733	2982779	3004178	Dimob
NC_021733	3273947	3297178	Dimob
NC_021733	3776207	3791970	Dimob
NC_021729	262161	304701	Dimob
NC_021729	790576	847891	Dimob
NC_021729	1402461	1415836	Dimob
NC_021729	1743103	1750119	Dimob
NC_021729	2032587	2039726	Dimob
NC_021729	3175265	3194997	Dimob
NC_021729	3208428	3228810	Dimob
NC_021729	3291466	3298774	Dimob
NZ_CP017152	254834	274059	Dimob
NZ_CP017152	767229	829818	Dimob
NZ_CP017152	1052535	1083769	Dimob
NZ_CP017152	1244184	1263740	Dimob
NZ_CP017152	1314015	1329009	Dimob
NZ_CP017152	1350026	1364494	Dimob
NZ_CP017152	1426422	1434397	Dimob
NZ_CP017152	1666054	1673693	Dimob
NZ_CP017152	1901416	1917660	Dimob
NZ_CP017152	2165330	2213105	Dimob
NZ_CP017152	2521150	2539954	Dimob
NZ_CP017152	2565545	2571513	Dimob
NZ_CP017152	2757540	2770650	Dimob
NZ_CP017152	2840203	2856175	Dimob
NZ_CP017152	2963751	2979491	Dimob
NZ_CP017152	2993521	3005828	Dimob
NZ_CP017152	3083063	3099405	Dimob
NZ_CP017152	3934308	3947098	Dimob
NC_023028	2108254	2117246	Dimob
NC_023028	2449304	2465356	Dimob
NC_023028	2641642	2685588	Dimob
NZ_CP007535	28412	84424	Dimob
NZ_CP007535	738342	742891	Dimob
NZ_CP007535	1001938	1019295	Dimob
NZ_CP007535	2011049	2015113	Dimob
NZ_CP007535	2500119	2534294	Dimob
NZ_CP007535	2841064	2856558	Dimob
NZ_CP007535	3169068	3176215	Dimob
NZ_CP007535	3556832	3565165	Dimob
NZ_CP007535	3685370	3701872	Dimob
NZ_CP009256	745566	774143	Dimob
NZ_CP009256	1018929	1031373	Dimob
NZ_CP009256	1559473	1609883	Dimob
NZ_CP009256	1730211	1743424	Dimob
NZ_CP009256	1799020	1814622	Dimob
NZ_CP009256	2590631	2597161	Dimob
NZ_CP009256	2605291	2617430	Dimob
NZ_CP009256	2624755	2631486	Dimob
NZ_CP009256	2639902	2647283	Dimob
NZ_CP009256	3371508	3405155	Dimob
NZ_CP009257	190685	202245	Dimob
NZ_CP009257	268005	281740	Dimob
NZ_CP009257	324734	335547	Dimob
NZ_CP009257	362940	404411	Dimob
NZ_CP009257	476867	482761	Dimob
NZ_CP009257	765527	804448	Dimob
NZ_CP009257	833867	843701	Dimob
NZ_CP009257	1032352	1039273	Dimob
NZ_CP009257	1091422	1113975	Dimob
NZ_CP009257	1142438	1147839	Dimob
NZ_CP009257	1181466	1191022	Dimob
NZ_CP009257	1487849	1496718	Dimob
NZ_CP009257	1546090	1563347	Dimob
NZ_CP009257	1926318	1973925	Dimob
NZ_CP009257	2049753	2059704	Dimob
NZ_CP009257	2202807	2211488	Dimob
NZ_CP009257	2458526	2467319	Dimob
NZ_CP009257	2538454	2578240	Dimob
NZ_CP009257	2658176	2665482	Dimob
NZ_CP009257	2959816	2973667	Dimob
NZ_CP009257	3536698	3579918	Dimob
NZ_CP009257	3661157	3698129	Dimob
NZ_CP009257	3855311	3859508	Dimob
NZ_CP009257	3904427	3951898	Dimob
NZ_CP009257	3987855	3995562	Dimob
NZ_CP009257	4062202	4067925	Dimob
NZ_CP009257	4305821	4328706	Dimob
NZ_CP009534	861611	867922	Dimob
NZ_CP009534	1259231	1272443	Dimob
NZ_CP009534	2335256	2344664	Dimob
NZ_CP009534	3114314	3151404	Dimob
NZ_CP009534	3612337	3661516	Dimob
NZ_CP007712	120830	146398	Dimob
NZ_CP007712	250489	266984	Dimob
NZ_CP007712	532806	579613	Dimob
NZ_CP007712	1030856	1037159	Dimob
NZ_CP007712	1232427	1238025	Dimob
NZ_CP007712	1582475	1605156	Dimob
NZ_CP007712	1671265	1678447	Dimob
NZ_CP007712	1717066	1739082	Dimob
NZ_CP007712	1890393	1905669	Dimob
NZ_CP007712	1944109	2009986	Dimob
NZ_CP007712	2147611	2161670	Dimob
NZ_CP007712	2339923	2354591	Dimob
NZ_CP007712	2441852	2449486	Dimob
NZ_CP007712	2723580	2731498	Dimob
NZ_CP007712	2961047	2995005	Dimob
NZ_CP007712	3028724	3058412	Dimob
NZ_CP007712	3376498	3386189	Dimob
NZ_CP010397	233084	245880	Dimob
NZ_CP010397	557061	581142	Dimob
NZ_CP010397	2081860	2099766	Dimob
NZ_CP010397	2211120	2217848	Dimob
NZ_CP010397	2336829	2376688	Dimob
NZ_CP010397	2402387	2413987	Dimob
NZ_CP010397	2572443	2611872	Dimob
NZ_CP010397	2681615	2687900	Dimob
NZ_CP010397	2889298	2919251	Dimob
NZ_CP010397	3011355	3034401	Dimob
NZ_CP010397	3267128	3315618	Dimob
NZ_AP013357	94158	113805	Dimob
NZ_AP013357	657980	665931	Dimob
NZ_AP013357	1091841	1125842	Dimob
NZ_AP013357	1138534	1151352	Dimob
NZ_AP013357	1249336	1266107	Dimob
NZ_AP013357	1399133	1408529	Dimob
NZ_AP013357	1592679	1599881	Dimob
NZ_AP013357	1625277	1635704	Dimob
NZ_AP013357	1651756	1669915	Dimob
NZ_AP013357	2233490	2258044	Dimob
NZ_AP013357	2684487	2696094	Dimob
NZ_AP013357	2834189	2847378	Dimob
NZ_AP013357	2858042	2876762	Dimob
NZ_AP013357	3030584	3050900	Dimob
NZ_AP013357	3764099	3780698	Dimob
NZ_AP014649	132336	145681	Dimob
NZ_AP014649	248431	262037	Dimob
NZ_AP014649	1029393	1077284	Dimob
NZ_AP014649	1628825	1647019	Dimob
NZ_AP014649	1974591	1985271	Dimob
NZ_AP014649	2249866	2257444	Dimob
NZ_AP014649	2606230	2616072	Dimob
NZ_AP014649	2861974	2896849	Dimob
NZ_CP010781	252162	305899	Dimob
NZ_CP010781	1152434	1166092	Dimob
NZ_CP010781	1357486	1375832	Dimob
NZ_CP010781	1729595	1736608	Dimob
NZ_CP010781	2620022	2636924	Dimob
NZ_CP010781	3205019	3224301	Dimob
NZ_CP008706	566943	580218	Dimob
NZ_CP008706	737470	758253	Dimob
NZ_CP008706	1324135	1334764	Dimob
NZ_CP008706	1396476	1413840	Dimob
NZ_CP008706	2302706	2310281	Dimob
NZ_CP008706	2650332	2656641	Dimob
NZ_CP008706	2665673	2682716	Dimob
NZ_CP008706	3716336	3727940	Dimob
NZ_CP010779	639251	646536	Dimob
NZ_CP010779	1373144	1385021	Dimob
NZ_CP010779	1570284	1585969	Dimob
NZ_CP010779	1600938	1624704	Dimob
NZ_CP010779	2176832	2202847	Dimob
NZ_CP010779	2284616	2292193	Dimob
NZ_CP010779	2622160	2631999	Dimob
NZ_CP010779	2707179	2718840	Dimob
NZ_CP010779	2808022	2871147	Dimob
NZ_CP010779	3012898	3027810	Dimob
NZ_CP010779	3096199	3110254	Dimob
NZ_CP010779	3258398	3314297	Dimob
NZ_CP010779	3804517	3844522	Dimob
NZ_CP010779	3998979	4009139	Dimob
NZ_CP012006	120825	145367	Dimob
NZ_CP012006	249461	265957	Dimob
NZ_CP012006	568667	575449	Dimob
NZ_CP012006	716952	726352	Dimob
NZ_CP012006	861346	873514	Dimob
NZ_CP012006	1205681	1230603	Dimob
NZ_CP012006	1239294	1251313	Dimob
NZ_CP012006	1471654	1483822	Dimob
NZ_CP012006	1539896	1551427	Dimob
NZ_CP012006	1593484	1611666	Dimob
NZ_CP012006	1620373	1634535	Dimob
NZ_CP012006	1938479	1948175	Dimob
NZ_CP012006	2400910	2419582	Dimob
NZ_CP012006	2509036	2515817	Dimob
NZ_CP012006	2547276	2557114	Dimob
NZ_CP012006	2623242	2646426	Dimob
