,binner,assembly,bin,species
51,concoct,megahit,8.fa_chroms.out6,1
52,concoct,megahit,9.fa_chroms.out6,1
53,concoct,metaspades,0.fa_chroms.out6,2
54,concoct,metaspades,1.fa_chroms.out6,1
55,concoct,metaspades,10.fa_chroms.out6,1
56,concoct,metaspades,11.fa_chroms.out6,1
57,concoct,metaspades,12.fa_chroms.out6,1
58,concoct,metaspades,13.fa_chroms.out6,1
59,concoct,metaspades,14.fa_chroms.out6,1
60,concoct,metaspades,15.fa_chroms.out6,4
61,concoct,metaspades,17.fa_chroms.out6,1
62,concoct,metaspades,18.fa_chroms.out6,2
63,concoct,metaspades,19.fa_chroms.out6,3
64,concoct,metaspades,2.fa_chroms.out6,1
65,concoct,metaspades,21.fa_chroms.out6,1
66,concoct,metaspades,23.fa_chroms.out6,2
67,concoct,metaspades,24.fa_chroms.out6,1
68,concoct,metaspades,26.fa_chroms.out6,1
69,concoct,metaspades,27.fa_chroms.out6,4
70,concoct,metaspades,28.fa_chroms.out6,1
71,concoct,metaspades,29.fa_chroms.out6,1
72,concoct,metaspades,32.fa_chroms.out6,4
73,concoct,metaspades,33.fa_chroms.out6,1
74,concoct,metaspades,34.fa_chroms.out6,2
75,concoct,metaspades,35.fa_chroms.out6,1
76,concoct,metaspades,37.fa_chroms.out6,1
77,concoct,metaspades,38.fa_chroms.out6,1
78,concoct,metaspades,41.fa_chroms.out6,2
79,concoct,metaspades,42.fa_chroms.out6,1
80,concoct,metaspades,6.fa_chroms.out6,1
81,concoct,metaspades,8.fa_chroms.out6,1
82,dastool,idba_ud,13.contigs.fa_chroms.out6,1
83,dastool,idba_ud,20.contigs.fa_chroms.out6,1
84,dastool,idba_ud,21.contigs.fa_chroms.out6,1
85,dastool,idba_ud,27.contigs.fa_chroms.out6,1
86,dastool,idba_ud,32.contigs.fa_chroms.out6,2
87,dastool,idba_ud,35_sub.contigs.fa_chroms.out6,4
88,dastool,idba_ud,39_sub.contigs.fa_chroms.out6,1
89,dastool,idba_ud,40.contigs.fa_chroms.out6,1
90,dastool,idba_ud,46.contigs.fa_chroms.out6,4
91,dastool,idba_ud,4_sub.contigs.fa_chroms.out6,1
92,dastool,idba_ud,7_sub.contigs.fa_chroms.out6,4
93,dastool,idba_ud,9.contigs.fa_chroms.out6,1
94,dastool,idba_ud,idba_ud_all.003.contigs.fa_chroms.out6,1
95,dastool,idba_ud,idba_ud_all.12.contigs.fa_chroms.out6,1
96,dastool,idba_ud,idba_ud_all.6.contigs.fa_chroms.out6,1
97,dastool,idba_ud,idba_ud_all.9.contigs.fa_chroms.out6,1
98,dastool,megahit,0.contigs.fa_chroms.out6,1
99,dastool,megahit,12.contigs.fa_chroms.out6,1
100,dastool,megahit,25.contigs.fa_chroms.out6,1
101,dastool,megahit,33.contigs.fa_chroms.out6,1
102,dastool,megahit,36_sub.contigs.fa_chroms.out6,1
103,dastool,megahit,40.contigs.fa_chroms.out6,1
104,dastool,megahit,41.contigs.fa_chroms.out6,4
105,dastool,megahit,6.contigs.fa_chroms.out6,2
106,dastool,megahit,megahit_all.006.contigs.fa_chroms.out6,1
107,dastool,megahit,megahit_all.1.contigs.fa_chroms.out6,1
108,dastool,megahit,megahit_all.12.contigs.fa_chroms.out6,1
109,dastool,megahit,megahit_all.14.contigs.fa_chroms.out6,1
110,dastool,megahit,megahit_all.18.contigs.fa_chroms.out6,1
111,dastool,megahit,megahit_all.2.contigs.fa_chroms.out6,4
112,dastool,megahit,megahit_all.4.contigs.fa_chroms.out6,1
113,dastool,metaspades,12.contigs.fa_chroms.out6,1
114,dastool,metaspades,15_sub.contigs.fa_chroms.out6,4
115,dastool,metaspades,2.contigs.fa_chroms.out6,1
116,dastool,metaspades,24.contigs.fa_chroms.out6,1
117,dastool,metaspades,27.contigs.fa_chroms.out6,4
118,dastool,metaspades,28_sub.contigs.fa_chroms.out6,1
119,dastool,metaspades,29.contigs.fa_chroms.out6,1
120,dastool,metaspades,35_sub.contigs.fa_chroms.out6,1
121,dastool,metaspades,37_sub.contigs.fa_chroms.out6,1
122,dastool,metaspades,38.contigs.fa_chroms.out6,1
123,dastool,metaspades,41_sub.contigs.fa_chroms.out6,2
124,dastool,metaspades,6_sub.contigs.fa_chroms.out6,1
125,dastool,metaspades,metaspades_all.001.contigs.fa_chroms.out6,1
126,dastool,metaspades,metaspades_all.002.contigs.fa_chroms.out6,2
127,dastool,metaspades,metaspades_all.004.contigs.fa_chroms.out6,1
128,dastool,metaspades,metaspades_all.013_sub.contigs.fa_chroms.out6,1
129,dastool,metaspades,metaspades_all.19.contigs.fa_chroms.out6,1
130,dastool,metaspades,metaspades_all.24.contigs.fa_chroms.out6,1
131,dastool,metaspades,metaspades_all.6.contigs.fa_chroms.out6,1
132,maxbin2,idba_ud,idba_ud_all.001.fasta_chroms.out6,1
133,maxbin2,idba_ud,idba_ud_all.002.fasta_chroms.out6,1
134,maxbin2,idba_ud,idba_ud_all.003.fasta_chroms.out6,1
135,maxbin2,idba_ud,idba_ud_all.004.fasta_chroms.out6,2
136,maxbin2,idba_ud,idba_ud_all.005.fasta_chroms.out6,1
137,maxbin2,idba_ud,idba_ud_all.006.fasta_chroms.out6,2
138,maxbin2,idba_ud,idba_ud_all.007.fasta_chroms.out6,1
139,maxbin2,idba_ud,idba_ud_all.008.fasta_chroms.out6,2
140,maxbin2,idba_ud,idba_ud_all.009.fasta_chroms.out6,4
141,maxbin2,idba_ud,idba_ud_all.010.fasta_chroms.out6,5
142,maxbin2,idba_ud,idba_ud_all.011.fasta_chroms.out6,3
143,maxbin2,idba_ud,idba_ud_all.012.fasta_chroms.out6,3
144,maxbin2,idba_ud,idba_ud_all.013.fasta_chroms.out6,2
145,maxbin2,idba_ud,idba_ud_all.014.fasta_chroms.out6,1
146,maxbin2,idba_ud,idba_ud_all.015.fasta_chroms.out6,5
147,maxbin2,idba_ud,idba_ud_all.016.fasta_chroms.out6,5
148,maxbin2,idba_ud,idba_ud_all.017.fasta_chroms.out6,6
149,maxbin2,idba_ud,idba_ud_all.018.fasta_chroms.out6,7
150,maxbin2,idba_ud,idba_ud_all.019.fasta_chroms.out6,3
151,maxbin2,idba_ud,idba_ud_all.020.fasta_chroms.out6,8
152,maxbin2,megahit,megahit_all.001.fasta_chroms.out6,1
153,maxbin2,megahit,megahit_all.002.fasta_chroms.out6,4
154,maxbin2,megahit,megahit_all.003.fasta_chroms.out6,2
155,maxbin2,megahit,megahit_all.004.fasta_chroms.out6,2
156,maxbin2,megahit,megahit_all.005.fasta_chroms.out6,1
157,maxbin2,megahit,megahit_all.006.fasta_chroms.out6,1
158,maxbin2,megahit,megahit_all.007.fasta_chroms.out6,1
159,maxbin2,megahit,megahit_all.008.fasta_chroms.out6,5
160,maxbin2,megahit,megahit_all.009.fasta_chroms.out6,4
161,maxbin2,megahit,megahit_all.010.fasta_chroms.out6,6
162,maxbin2,megahit,megahit_all.011.fasta_chroms.out6,2
163,maxbin2,megahit,megahit_all.012.fasta_chroms.out6,5
164,maxbin2,megahit,megahit_all.013.fasta_chroms.out6,2
165,maxbin2,megahit,megahit_all.014.fasta_chroms.out6,3
166,maxbin2,megahit,megahit_all.015.fasta_chroms.out6,5
167,maxbin2,megahit,megahit_all.016.fasta_chroms.out6,4
168,maxbin2,megahit,megahit_all.017.fasta_chroms.out6,1
169,maxbin2,megahit,megahit_all.018.fasta_chroms.out6,7
170,maxbin2,megahit,megahit_all.019.fasta_chroms.out6,3
171,maxbin2,megahit,megahit_all.020.fasta_chroms.out6,6
172,maxbin2,metaspades,metaspades_all.001.fasta_chroms.out6,1
173,maxbin2,metaspades,metaspades_all.002.fasta_chroms.out6,2
174,maxbin2,metaspades,metaspades_all.003.fasta_chroms.out6,1
175,maxbin2,metaspades,metaspades_all.004.fasta_chroms.out6,1
176,maxbin2,metaspades,metaspades_all.005.fasta_chroms.out6,5
177,maxbin2,metaspades,metaspades_all.006.fasta_chroms.out6,1
178,maxbin2,metaspades,metaspades_all.007.fasta_chroms.out6,1
179,maxbin2,metaspades,metaspades_all.008.fasta_chroms.out6,1
180,maxbin2,metaspades,metaspades_all.009.fasta_chroms.out6,4
181,maxbin2,metaspades,metaspades_all.010.fasta_chroms.out6,5
182,maxbin2,metaspades,metaspades_all.011.fasta_chroms.out6,5
183,maxbin2,metaspades,metaspades_all.012.fasta_chroms.out6,1
184,maxbin2,metaspades,metaspades_all.013.fasta_chroms.out6,4
185,maxbin2,metaspades,metaspades_all.014.fasta_chroms.out6,7
186,maxbin2,metaspades,metaspades_all.015.fasta_chroms.out6,5
187,maxbin2,metaspades,metaspades_all.016.fasta_chroms.out6,5
188,maxbin2,metaspades,metaspades_all.017.fasta_chroms.out6,3
189,maxbin2,metaspades,metaspades_all.018.fasta_chroms.out6,3
190,maxbin2,metaspades,metaspades_all.019.fasta_chroms.out6,7
191,metabat2,idba_ud,idba_ud_all.1.fa_chroms.out6,1
192,metabat2,idba_ud,idba_ud_all.10.fa_chroms.out6,1
193,metabat2,idba_ud,idba_ud_all.11.fa_chroms.out6,1
194,metabat2,idba_ud,idba_ud_all.12.fa_chroms.out6,1
195,metabat2,idba_ud,idba_ud_all.13.fa_chroms.out6,1
196,metabat2,idba_ud,idba_ud_all.15.fa_chroms.out6,1
197,metabat2,idba_ud,idba_ud_all.16.fa_chroms.out6,1
198,metabat2,idba_ud,idba_ud_all.18.fa_chroms.out6,4
199,metabat2,idba_ud,idba_ud_all.20.fa_chroms.out6,1
200,metabat2,idba_ud,idba_ud_all.3.fa_chroms.out6,1
201,metabat2,idba_ud,idba_ud_all.4.fa_chroms.out6,1
202,metabat2,idba_ud,idba_ud_all.5.fa_chroms.out6,1
203,metabat2,idba_ud,idba_ud_all.6.fa_chroms.out6,1
204,metabat2,idba_ud,idba_ud_all.7.fa_chroms.out6,4
205,metabat2,idba_ud,idba_ud_all.8.fa_chroms.out6,2
206,metabat2,idba_ud,idba_ud_all.9.fa_chroms.out6,1
207,metabat2,megahit,megahit_all.1.fa_chroms.out6,1
208,metabat2,megahit,megahit_all.11.fa_chroms.out6,2
209,metabat2,megahit,megahit_all.12.fa_chroms.out6,1
210,metabat2,megahit,megahit_all.13.fa_chroms.out6,4
211,metabat2,megahit,megahit_all.14.fa_chroms.out6,1
212,metabat2,megahit,megahit_all.15.fa_chroms.out6,1
213,metabat2,megahit,megahit_all.16.fa_chroms.out6,1
214,metabat2,megahit,megahit_all.18.fa_chroms.out6,1
215,metabat2,megahit,megahit_all.19.fa_chroms.out6,1
216,metabat2,megahit,megahit_all.2.fa_chroms.out6,4
217,metabat2,megahit,megahit_all.4.fa_chroms.out6,1
218,metabat2,megahit,megahit_all.5.fa_chroms.out6,1
219,metabat2,megahit,megahit_all.6.fa_chroms.out6,1
220,metabat2,megahit,megahit_all.7.fa_chroms.out6,1
221,metabat2,megahit,megahit_all.8.fa_chroms.out6,1
222,metabat2,megahit,megahit_all.9.fa_chroms.out6,1
223,metabat2,metaspades,metaspades_all.10.fa_chroms.out6,2
224,metabat2,metaspades,metaspades_all.11.fa_chroms.out6,1
225,metabat2,metaspades,metaspades_all.12.fa_chroms.out6,1
226,metabat2,metaspades,metaspades_all.13.fa_chroms.out6,4
227,metabat2,metaspades,metaspades_all.14.fa_chroms.out6,1
228,metabat2,metaspades,metaspades_all.16.fa_chroms.out6,1
229,metabat2,metaspades,metaspades_all.17.fa_chroms.out6,1
230,metabat2,metaspades,metaspades_all.19.fa_chroms.out6,1
231,metabat2,metaspades,metaspades_all.2.fa_chroms.out6,1
232,metabat2,metaspades,metaspades_all.20.fa_chroms.out6,4
233,metabat2,metaspades,metaspades_all.21.fa_chroms.out6,1
234,metabat2,metaspades,metaspades_all.22.fa_chroms.out6,1
235,metabat2,metaspades,metaspades_all.23.fa_chroms.out6,2
236,metabat2,metaspades,metaspades_all.24.fa_chroms.out6,1
237,metabat2,metaspades,metaspades_all.25.fa_chroms.out6,1
238,metabat2,metaspades,metaspades_all.26.fa_chroms.out6,1
239,metabat2,metaspades,metaspades_all.4.fa_chroms.out6,1
240,metabat2,metaspades,metaspades_all.5.fa_chroms.out6,2
241,metabat2,metaspades,metaspades_all.6.fa_chroms.out6,1
242,metabat2,metaspades,metaspades_all.7.fa_chroms.out6,1
243,metabat2,metaspades,metaspades_all.8.fa_chroms.out6,1
244,metabat2,metaspades,metaspades_all.9.fa_chroms.out6,1
