assembler,binner,bin,nts
megahit,maxbin2,megahit_all.017.fasta,2570493
megahit,maxbin2,megahit_all.018.fasta,3578869
megahit,maxbin2,megahit_all.019.fasta,5639211
megahit,maxbin2,megahit_all.020.fasta,3492263
idba_ud,metabat2,idba_ud_all.10.fa,4209428
idba_ud,metabat2,idba_ud_all.11.fa,4059249
idba_ud,metabat2,idba_ud_all.12.fa,5966078
idba_ud,metabat2,idba_ud_all.13.fa,5272711
idba_ud,metabat2,idba_ud_all.14.fa,253741
idba_ud,metabat2,idba_ud_all.15.fa,595219
idba_ud,metabat2,idba_ud_all.16.fa,2472179
idba_ud,metabat2,idba_ud_all.17.fa,375385
idba_ud,metabat2,idba_ud_all.18.fa,3679201
idba_ud,metabat2,idba_ud_all.19.fa,379463
idba_ud,metabat2,idba_ud_all.1.fa,2184695
idba_ud,metabat2,idba_ud_all.20.fa,1820818
idba_ud,metabat2,idba_ud_all.2.fa,248867
idba_ud,metabat2,idba_ud_all.3.fa,5122984
idba_ud,metabat2,idba_ud_all.4.fa,1593972
idba_ud,metabat2,idba_ud_all.5.fa,3265486
idba_ud,metabat2,idba_ud_all.6.fa,5346509
idba_ud,metabat2,idba_ud_all.7.fa,3529034
idba_ud,metabat2,idba_ud_all.8.fa,7651205
idba_ud,metabat2,idba_ud_all.9.fa,2267956
metaspades,metabat2,metaspades_all.10.fa,5858297
metaspades,metabat2,metaspades_all.11.fa,449001
metaspades,metabat2,metaspades_all.12.fa,2573124
metaspades,metabat2,metaspades_all.13.fa,3778438
metaspades,metabat2,metaspades_all.14.fa,2331988
metaspades,metabat2,metaspades_all.15.fa,274805
metaspades,metabat2,metaspades_all.16.fa,5118100
metaspades,metabat2,metaspades_all.17.fa,5116012
metaspades,metabat2,metaspades_all.18.fa,410467
metaspades,metabat2,metaspades_all.19.fa,4400404
metaspades,metabat2,metaspades_all.1.fa,451481
metaspades,metabat2,metaspades_all.20.fa,3635328
metaspades,metabat2,metaspades_all.21.fa,1638106
metaspades,metabat2,metaspades_all.22.fa,1960548
metaspades,metabat2,metaspades_all.23.fa,7720513
metaspades,metabat2,metaspades_all.24.fa,5966158
metaspades,metabat2,metaspades_all.25.fa,438198
metaspades,metabat2,metaspades_all.26.fa,415629
metaspades,metabat2,metaspades_all.2.fa,671613
metaspades,metabat2,metaspades_all.3.fa,249394
metaspades,metabat2,metaspades_all.4.fa,329168
metaspades,metabat2,metaspades_all.5.fa,615448
metaspades,metabat2,metaspades_all.6.fa,2390364
metaspades,metabat2,metaspades_all.7.fa,546496
metaspades,metabat2,metaspades_all.8.fa,924715
metaspades,metabat2,metaspades_all.9.fa,5348254
megahit,metabat2,megahit_all.10.fa,296521
megahit,metabat2,megahit_all.11.fa,7683736
megahit,metabat2,megahit_all.12.fa,5977205
megahit,metabat2,megahit_all.13.fa,3632708
megahit,metabat2,megahit_all.14.fa,4322104
megahit,metabat2,megahit_all.15.fa,3268192
megahit,metabat2,megahit_all.16.fa,572566
megahit,metabat2,megahit_all.17.fa,249593
megahit,metabat2,megahit_all.18.fa,2306568
megahit,metabat2,megahit_all.19.fa,3851583
megahit,metabat2,megahit_all.1.fa,2296997
megahit,metabat2,megahit_all.20.fa,315786
megahit,metabat2,megahit_all.2.fa,3782427
megahit,metabat2,megahit_all.3.fa,445676
megahit,metabat2,megahit_all.4.fa,1945705
megahit,metabat2,megahit_all.5.fa,5115548
megahit,metabat2,megahit_all.6.fa,5231294
megahit,metabat2,megahit_all.7.fa,1599758
megahit,metabat2,megahit_all.8.fa,5234830
megahit,metabat2,megahit_all.9.fa,2348449
idba_ud,concoct,0.fa,741888
idba_ud,concoct,10.fa,173008
idba_ud,concoct,11.fa,2781
idba_ud,concoct,12.fa,938675
idba_ud,concoct,13.fa,5126508
idba_ud,concoct,14.fa,5399194
idba_ud,concoct,15.fa,824140
idba_ud,concoct,16.fa,79016
idba_ud,concoct,17.fa,1205343
idba_ud,concoct,18.fa,16989
idba_ud,concoct,19.fa,1471
idba_ud,concoct,1.fa,2221
idba_ud,concoct,20.fa,1669323
idba_ud,concoct,21.fa,2321708
idba_ud,concoct,22.fa,1119
idba_ud,concoct,23.fa,6886
idba_ud,concoct,24.fa,85272
idba_ud,concoct,25.fa,6010284
idba_ud,concoct,26.fa,1003189
idba_ud,concoct,27.fa,2023267
idba_ud,concoct,28.fa,1395
idba_ud,concoct,29.fa,2362
idba_ud,concoct,2.fa,57883
idba_ud,concoct,30.fa,6530
idba_ud,concoct,31.fa,1027
idba_ud,concoct,32.fa,7654145
idba_ud,concoct,33.fa,1746835
idba_ud,concoct,34.fa,3262
idba_ud,concoct,35.fa,3926672
idba_ud,concoct,36.fa,809876
idba_ud,concoct,37.fa,3558
idba_ud,concoct,38.fa,5976
idba_ud,concoct,39.fa,5084922
idba_ud,concoct,3.fa,1431
idba_ud,concoct,40.fa,3278631
idba_ud,concoct,41.fa,5272711
idba_ud,concoct,42.fa,1601105
idba_ud,concoct,43.fa,2438
idba_ud,concoct,44.fa,440596
idba_ud,concoct,45.fa,438498
idba_ud,concoct,46.fa,3648107
idba_ud,concoct,4.fa,2582213
idba_ud,concoct,5.fa,808601
idba_ud,concoct,6.fa,905620
idba_ud,concoct,7.fa,1981677
idba_ud,concoct,8.fa,2384522
idba_ud,concoct,9.fa,5076311
metaspades,concoct,0.fa,574965
metaspades,concoct,10.fa,5419590
metaspades,concoct,11.fa,3286067
metaspades,concoct,12.fa,2368221
metaspades,concoct,13.fa,789023
metaspades,concoct,14.fa,6083989
metaspades,concoct,15.fa,3966442
metaspades,concoct,16.fa,761933
metaspades,concoct,17.fa,5618750
metaspades,concoct,18.fa,1401192
metaspades,concoct,19.fa,2167865
metaspades,concoct,1.fa,2429097
metaspades,concoct,20.fa,1849
metaspades,concoct,21.fa,1398577
metaspades,concoct,22.fa,2413
metaspades,concoct,23.fa,284204
metaspades,concoct,24.fa,1421503
metaspades,concoct,25.fa,1681
metaspades,concoct,26.fa,3017273
metaspades,concoct,27.fa,3742471
metaspades,concoct,28.fa,5201463
metaspades,concoct,29.fa,2609557
metaspades,concoct,2.fa,1962967
metaspades,concoct,30.fa,1700
metaspades,concoct,31.fa,22261
metaspades,concoct,32.fa,3033873
metaspades,concoct,33.fa,2168177
metaspades,concoct,34.fa,7722944
metaspades,concoct,35.fa,1902169
metaspades,concoct,36.fa,8119
metaspades,concoct,37.fa,1691002
metaspades,concoct,38.fa,5423519
metaspades,concoct,39.fa,2999
metaspades,concoct,3.fa,34423
metaspades,concoct,40.fa,1109
metaspades,concoct,41.fa,6689322
metaspades,concoct,42.fa,1389881
metaspades,concoct,43.fa,2479
metaspades,concoct,44.fa,26049
metaspades,concoct,45.fa,710409
metaspades,concoct,47.fa,1500
metaspades,concoct,4.fa,1269
metaspades,concoct,5.fa,9373
metaspades,concoct,6.fa,1153265
metaspades,concoct,7.fa,1054559
metaspades,concoct,8.fa,458217
metaspades,concoct,9.fa,57219
megahit,concoct,0.fa,3285919
megahit,concoct,10.fa,1646337
megahit,concoct,11.fa,1937
megahit,concoct,12.fa,5269181
megahit,concoct,13.fa,728566
megahit,concoct,14.fa,193386
megahit,concoct,15.fa,1251
megahit,concoct,16.fa,1662240
megahit,concoct,17.fa,784854
megahit,concoct,18.fa,5539037
megahit,concoct,19.fa,12453
megahit,concoct,1.fa,991520
megahit,concoct,20.fa,1707
megahit,concoct,21.fa,575732
megahit,concoct,22.fa,6056826
megahit,concoct,23.fa,3968688
megahit,concoct,24.fa,945428
megahit,concoct,25.fa,5384484
megahit,concoct,26.fa,2411560
megahit,concoct,27.fa,141429
megahit,concoct,28.fa,9435
megahit,concoct,29.fa,2316
megahit,concoct,2.fa,2362680
megahit,concoct,30.fa,995750
megahit,concoct,31.fa,143746
megahit,concoct,32.fa,659890
megahit,concoct,33.fa,2550639
megahit,concoct,34.fa,7483
megahit,concoct,35.fa,2468515
megahit,concoct,36.fa,5216196
megahit,concoct,37.fa,1119
megahit,concoct,38.fa,1017
megahit,concoct,39.fa,1258984
megahit,concoct,3.fa,1402620
megahit,concoct,40.fa,5542384
megahit,concoct,41.fa,3678047
megahit,concoct,42.fa,71996
megahit,concoct,43.fa,2058433
megahit,concoct,44.fa,1136
megahit,concoct,45.fa,2815
megahit,concoct,46.fa,1703980
megahit,concoct,47.fa,16405
megahit,concoct,4.fa,1057
megahit,concoct,5.fa,1046
megahit,concoct,6.fa,7685822
megahit,concoct,7.fa,8630
megahit,concoct,8.fa,2359310
megahit,concoct,9.fa,537157
idba_ud,dastool,13.contigs.fa,5126508
idba_ud,dastool,20.contigs.fa,1669323
idba_ud,dastool,21.contigs.fa,2321708
idba_ud,dastool,27.contigs.fa,2023267
idba_ud,dastool,32.contigs.fa,7654145
idba_ud,dastool,35_sub.contigs.fa,3922274
idba_ud,dastool,39_sub.contigs.fa,5081293
idba_ud,dastool,40.contigs.fa,3278631
idba_ud,dastool,46.contigs.fa,3648107
idba_ud,dastool,4_sub.contigs.fa,2580978
idba_ud,dastool,7_sub.contigs.fa,1757812
idba_ud,dastool,9.contigs.fa,5076311
idba_ud,dastool,idba_ud_all.003.contigs.fa,5433293
idba_ud,dastool,idba_ud_all.12.contigs.fa,5966078
idba_ud,dastool,idba_ud_all.6.contigs.fa,5346509
idba_ud,dastool,idba_ud_all.9.contigs.fa,2267956
metaspades,dastool,12.contigs.fa,2368221
metaspades,dastool,15_sub.contigs.fa,3915151
metaspades,dastool,24.contigs.fa,1421503
metaspades,dastool,27.contigs.fa,3742471
metaspades,dastool,28_sub.contigs.fa,5198882
metaspades,dastool,29.contigs.fa,2609557
metaspades,dastool,2.contigs.fa,1962967
metaspades,dastool,35_sub.contigs.fa,1788806
metaspades,dastool,37_sub.contigs.fa,1682162
metaspades,dastool,38.contigs.fa,5423519
metaspades,dastool,41_sub.contigs.fa,6686129
metaspades,dastool,6_sub.contigs.fa,1144517
metaspades,dastool,metaspades_all.001.contigs.fa,3353604
metaspades,dastool,metaspades_all.002.contigs.fa,7730277
metaspades,dastool,metaspades_all.004.contigs.fa,5321575
metaspades,dastool,metaspades_all.013_sub.contigs.fa,1739605
metaspades,dastool,metaspades_all.19.contigs.fa,4400404
metaspades,dastool,metaspades_all.24.contigs.fa,5966158
metaspades,dastool,metaspades_all.6.contigs.fa,2390364
megahit,dastool,0.contigs.fa,3285919
megahit,dastool,12.contigs.fa,5269181
megahit,dastool,25.contigs.fa,5384484
megahit,dastool,33.contigs.fa,2550639
megahit,dastool,36_sub.contigs.fa,5109800
megahit,dastool,40.contigs.fa,5542384
megahit,dastool,41.contigs.fa,3678047
megahit,dastool,6.contigs.fa,7685822
megahit,dastool,megahit_all.006.contigs.fa,1801687
megahit,dastool,megahit_all.12.contigs.fa,5977205
megahit,dastool,megahit_all.14.contigs.fa,4322104
megahit,dastool,megahit_all.18.contigs.fa,2306568
megahit,dastool,megahit_all.1.contigs.fa,2296997
megahit,dastool,megahit_all.2.contigs.fa,3782427
megahit,dastool,megahit_all.4.contigs.fa,1945705
