contigName	contigLen	totalAvgDepth	metaspades_perc100_sorted.bam	metaspades_perc100_sorted.bam-var
NODE_57_length_206450_cov_19.420795	206450	21.3034	21.3034	21.2076
NODE_58_length_206267_cov_238.274441	206267	271.387	271.387	360.993
NODE_59_length_204405_cov_22.134632	204405	25.611	25.611	27.1782
NODE_60_length_200509_cov_22.106483	200509	25.4547	25.4547	28.1016
NODE_61_length_200441_cov_7.005190	200441	8.39832	8.39832	8.70466
NODE_62_length_200387_cov_20.103883	200387	23.1004	23.1004	21.4322
NODE_63_length_198840_cov_20.054174	198840	23.0942	23.0942	24.618
NODE_64_length_197128_cov_12.671665	197128	15.1658	15.1658	15.3166
NODE_65_length_196061_cov_233.498857	196061	270.1	270.1	462.326
NODE_66_length_194744_cov_236.685195	194744	271.265	271.265	454.746
NODE_67_length_188936_cov_1428.235122	188936	1636.43	1636.43	12102
NODE_68_length_185827_cov_7.097151	185827	8.48686	8.48686	8.59625
NODE_69_length_185290_cov_21.935773	185290	25.4376	25.4376	28.247
NODE_70_length_184384_cov_9.134884	184384	10.5623	10.5623	10.3958
NODE_71_length_183369_cov_12.464874	183369	14.7477	14.7477	14.9488
NODE_72_length_183140_cov_19.958893	183140	23.027	23.027	24.9591
NODE_73_length_182635_cov_20.394381	182635	21.0871	21.0871	24.6171
NODE_74_length_181574_cov_9.160418	181574	10.624	10.624	10.1193
NODE_75_length_181402_cov_243.723337	181402	273.195	273.195	441.513
NODE_76_length_181312_cov_132.143862	181312	149.92	149.92	182.286
NODE_77_length_178571_cov_51.114231	178571	58.5492	58.5492	67.9361
NODE_78_length_177936_cov_20.343882	177936	23.3911	23.3911	23.5779
NODE_79_length_175662_cov_51.861509	175662	59.2959	59.2959	88.5623
NODE_80_length_174109_cov_20.193187	174109	23.222	23.222	24.2225
NODE_81_length_173078_cov_131.211064	173078	150.188	150.188	187.24
NODE_82_length_172895_cov_20.921228	172895	21.0111	21.0111	25.8296
NODE_83_length_171530_cov_7.218143	171530	8.5958	8.5958	8.61807
NODE_84_length_169228_cov_7.216199	169228	8.52136	8.52136	8.6119
NODE_85_length_166288_cov_9.065793	166288	10.4188	10.4188	10.924
NODE_86_length_165404_cov_249.965546	165404	270.422	270.422	645.516
NODE_87_length_164286_cov_235.550615	164286	271.244	271.244	316.769
NODE_88_length_162922_cov_5962.306489	162922	7026.94	7026.94	143852
NODE_89_length_162894_cov_9.176610	162894	10.5732	10.5732	10.8524
NODE_90_length_162439_cov_104.662695	162439	116.604	116.604	152.009
NODE_91_length_161397_cov_238.116442	161397	273.961	273.961	278.674
NODE_92_length_158958_cov_12.500179	158958	14.9007	14.9007	15.168
NODE_93_length_151925_cov_9.142589	151925	10.6515	10.6515	10.2651
NODE_94_length_149426_cov_59.446586	149426	63.3511	63.3511	486.054
NODE_95_length_149202_cov_20.750883	149202	23.6931	23.6931	25.8304
NODE_96_length_148727_cov_20.373554	148727	23.2677	23.2677	22.109
NODE_97_length_148154_cov_238.487215	148154	270.279	270.279	475.027
NODE_98_length_147924_cov_7.265735	147924	8.78198	8.78198	9.75345
NODE_99_length_147470_cov_20.345528	147470	23.3975	23.3975	25.3218
NODE_100_length_147297_cov_204.783594	147297	215.094	215.094	1122.56
NODE_101_length_146708_cov_12.629950	146708	14.9007	14.9007	14.7325
NODE_102_length_145231_cov_8.960427	145231	10.3976	10.3976	10.853
NODE_103_length_144457_cov_129.658246	144457	149.625	149.625	147.196
NODE_104_length_143374_cov_7.091251	143374	8.45659	8.45659	7.83493
NODE_105_length_143211_cov_133.101428	143211	148.659	148.659	205.887
NODE_106_length_143157_cov_101.397674	143157	117.203	117.203	119.563
NODE_107_length_142407_cov_7.129313	142407	8.60437	8.60437	8.293
NODE_108_length_139738_cov_20.146596	139738	23.1905	23.1905	26.0005
NODE_109_length_139205_cov_234.486044	139205	268.903	268.903	581.464
NODE_110_length_138978_cov_100.922007	138978	116.857	116.857	118.479
NODE_111_length_137537_cov_20.092361	137537	23.0832	23.0832	20.1843
NODE_112_length_137337_cov_233.678195	137337	271.695	271.695	282.003
NODE_113_length_136382_cov_7.217213	136382	8.60825	8.60825	8.10585
NODE_114_length_134423_cov_936.766194	134423	1060.46	1060.46	5593.46
NODE_115_length_133736_cov_18.252242	133736	20.8027	20.8027	22.7748
NODE_116_length_132496_cov_232.775953	132496	269.803	269.803	403.498
NODE_117_length_131399_cov_72.618087	131399	84.9498	84.9498	113.142
NODE_118_length_130789_cov_240.084706	130789	271.13	271.13	505.983
NODE_119_length_130636_cov_132.189116	130636	150.003	150.003	203.043
NODE_120_length_128230_cov_19.894628	128230	23.0508	23.0508	21.9543
NODE_121_length_127698_cov_7.009981	127698	8.43336	8.43336	8.36713
NODE_122_length_124132_cov_65.564690	124132	72.8545	72.8545	119.659
NODE_123_length_123962_cov_20.363603	123962	23.3993	23.3993	22.7161
NODE_124_length_122667_cov_131.963788	122667	151.843	151.843	169.249
NODE_125_length_121845_cov_18.908909	121845	21.0046	21.0046	22.3617
NODE_126_length_120784_cov_232.512917	120784	271.577	271.577	320.958
NODE_127_length_118949_cov_9.449283	118949	10.897	10.897	9.9387
NODE_128_length_117739_cov_20.188462	117739	23.1561	23.1561	22.6398
NODE_129_length_116279_cov_102.908195	116279	114.045	114.045	216.318
NODE_130_length_114549_cov_6.939089	114549	8.3363	8.3363	7.36241
NODE_131_length_114454_cov_235.194154	114454	272.843	272.843	316.761
NODE_132_length_112972_cov_131.145682	112972	150.715	150.715	168.505
NODE_133_length_112565_cov_9.277344	112565	10.7801	10.7801	10.8582
NODE_134_length_112216_cov_140.014604	112216	156.047	156.047	324.482
NODE_135_length_112050_cov_5.663056	112050	6.59251	6.59251	6.52937
NODE_136_length_111406_cov_5.660147	111406	6.70454	6.70454	6.66606
NODE_137_length_111245_cov_234.860959	111245	271.365	271.365	407.161
NODE_138_length_109883_cov_20.213843	109883	21.4766	21.4766	24.0904
NODE_139_length_109526_cov_20.219300	109526	23.2051	23.2051	23.1915
NODE_140_length_108809_cov_8.998749	108809	10.4017	10.4017	9.99124
NODE_141_length_108412_cov_20.081241	108412	23.1103	23.1103	25.0844
NODE_142_length_107237_cov_103.713879	107237	116.912	116.912	134.757
NODE_143_length_106847_cov_100.847133	106847	115.725	115.725	122.753
NODE_144_length_106320_cov_20.496099	106320	23.7387	23.7387	21.4864
NODE_145_length_105979_cov_131.113147	105979	150.981	150.981	163.527
NODE_146_length_105934_cov_99.697787	105934	115.33	115.33	131.92
NODE_147_length_105836_cov_9.355092	105836	10.7136	10.7136	9.34744
NODE_148_length_105619_cov_9.035230	105619	10.5076	10.5076	10.0768
NODE_149_length_105229_cov_138.666809	105229	151.866	151.866	300.442
NODE_150_length_105213_cov_238.958443	105213	267.648	267.648	781.565
NODE_151_length_104231_cov_102.093755	104231	117.317	117.317	173.601
NODE_152_length_104195_cov_233.529201	104195	271.846	271.846	273.156
NODE_153_length_103357_cov_101.043339	103357	116.79	116.79	117.57
NODE_154_length_103168_cov_7.092510	103168	8.5278	8.5278	8.27199
NODE_155_length_103087_cov_9.378805	103087	10.7513	10.7513	11.2697
NODE_156_length_102749_cov_9.151041	102749	10.5943	10.5943	10.6316
NODE_157_length_101449_cov_99.691540	101449	115.305	115.305	129.244
NODE_158_length_101076_cov_101.679463	101076	116.968	116.968	115.309
NODE_159_length_100911_cov_234.444852	100911	272.348	272.348	320.255
NODE_160_length_100733_cov_7.019120	100733	8.41714	8.41714	8.25137
NODE_161_length_100206_cov_101.342333	100206	117.083	117.083	115.598
NODE_162_length_99863_cov_234.096235	99863	271.712	271.712	301.86
NODE_163_length_99357_cov_7.166140	99357	8.62881	8.62881	8.55281
NODE_164_length_98418_cov_232.616319	98418	269.805	269.805	327.488
NODE_165_length_98389_cov_237.113114	98389	271.31	271.31	461.939
NODE_166_length_98060_cov_89.838712	98060	92.0713	92.0713	236.328
NODE_167_length_97936_cov_9.041918	97936	5.21514	5.21514	5.49476
NODE_168_length_97932_cov_9.035095	97932	5.28722	5.28722	4.88581
NODE_169_length_97522_cov_54.100034	97522	60.1442	60.1442	89.5986
NODE_170_length_97203_cov_83.300119	97203	95.9226	95.9226	104.382
NODE_171_length_96421_cov_242.503933	96421	263.693	263.693	1418.46
NODE_172_length_95837_cov_101.331398	95837	116.893	116.893	133.709
NODE_173_length_95468_cov_115.237525	95468	117.588	117.588	716.729
NODE_174_length_95001_cov_101.245424	95001	116.879	116.879	113.505
NODE_175_length_94919_cov_7.353327	94919	8.78704	8.78704	8.61551
NODE_176_length_94511_cov_101.818550	94511	116.033	116.033	154.468
NODE_177_length_94457_cov_6.713216	94457	8.09905	8.09905	8.80095
NODE_178_length_94396_cov_147.348449	94396	156.722	156.722	366.763
NODE_179_length_94283_cov_101.465828	94283	117.26	117.26	128.12
NODE_180_length_93700_cov_5.280399	93700	6.2153	6.2153	5.92771
NODE_181_length_93057_cov_19.970237	93057	22.8762	22.8762	22.9473
NODE_182_length_93045_cov_130.631520	93045	150.56	150.56	159.912
NODE_183_length_92887_cov_102.059495	92887	116.251	116.251	114.442
NODE_184_length_92441_cov_21.847001	92441	25.1018	25.1018	23.7071
NODE_185_length_92309_cov_84.680361	92309	95.4772	95.4772	115.322
NODE_186_length_92279_cov_83.479799	92279	95.5166	95.5166	96.9013
NODE_187_length_91966_cov_96.177433	91966	92.9781	92.9781	206.956
NODE_188_length_91707_cov_132.167340	91707	150.231	150.231	190.736
NODE_189_length_89837_cov_20.384955	89837	23.4873	23.4873	25.1064
NODE_190_length_88812_cov_5.322363	88812	6.27728	6.27728	5.81751
NODE_191_length_87113_cov_12.878322	87113	14.8214	14.8214	16.1096
NODE_192_length_86765_cov_7.141079	86765	8.55736	8.55736	8.29183
NODE_193_length_86343_cov_75.907716	86343	87.4037	87.4037	123.82
NODE_194_length_84756_cov_5.591658	84756	6.62758	6.62758	6.34337
NODE_195_length_84383_cov_9.266199	84383	10.7764	10.7764	10.9815
NODE_196_length_84086_cov_101.374231	84086	117.428	117.428	135.677
NODE_197_length_84000_cov_101.203455	84000	116.728	116.728	126.495
NODE_198_length_83902_cov_7.121209	83902	8.58547	8.58547	8.53766
NODE_199_length_83551_cov_13.168295	83551	15.2984	15.2984	16.1042
NODE_200_length_83369_cov_18.479043	83369	21.2005	21.2005	20.4562
NODE_201_length_83066_cov_6.948898	83066	8.34481	8.34481	8.95227
NODE_202_length_83037_cov_20.686787	83037	23.9105	23.9105	22.5922
NODE_203_length_81986_cov_12.483480	81986	14.5831	14.5831	14.902
NODE_204_length_81618_cov_130.731962	81618	150.543	150.543	163.265
NODE_205_length_81401_cov_102.286517	81401	118.552	118.552	114.658
NODE_206_length_81046_cov_19.501784	81046	20.7907	20.7907	22.5199
NODE_207_length_80956_cov_22.245634	80956	25.4668	25.4668	27.7816
NODE_208_length_80857_cov_9.137150	80857	10.6621	10.6621	10.3419
NODE_209_length_80313_cov_130.393194	80313	150.548	150.548	158.59
NODE_210_length_80228_cov_20.553565	80228	23.5547	23.5547	25.5315
NODE_211_length_80171_cov_20.553435	80171	23.6747	23.6747	23.7883
NODE_212_length_79815_cov_6.822931	79815	8.26126	8.26126	9.01667
NODE_213_length_79561_cov_18.485674	79561	21.3928	21.3928	23.9679
NODE_214_length_78737_cov_100.189916	78737	115.738	115.738	117.684
NODE_215_length_78635_cov_129.285187	78635	148.938	148.938	166.363
NODE_216_length_78588_cov_9.362497	78588	10.927	10.927	11.1023
NODE_217_length_78457_cov_6.768246	78457	8.09585	8.09585	8.01104
NODE_218_length_78007_cov_102.371857	78007	118.005	118.005	126.661
NODE_219_length_77912_cov_255.641304	77912	277.594	277.594	7342.17
NODE_220_length_77663_cov_5.498866	77663	6.49888	6.49888	6.54565
NODE_221_length_76397_cov_19.868657	76397	22.9046	22.9046	21.4117
NODE_222_length_75924_cov_51.467253	75924	59.2767	59.2767	59.7323
NODE_223_length_75923_cov_10.835846	75923	12.187	12.187	44.1933
NODE_224_length_75833_cov_5.264232	75833	6.18821	6.18821	6.61706
NODE_225_length_75731_cov_20.129751	75731	23.2017	23.2017	23.0898
NODE_226_length_75197_cov_20.071385	75197	22.9681	22.9681	22.0659
NODE_227_length_75032_cov_233.936674	75032	273.632	273.632	351.249
NODE_228_length_73294_cov_9.924507	73294	10.6398	10.6398	11.0168
NODE_229_length_72440_cov_8.935705	72440	10.259	10.259	9.47673
NODE_230_length_72406_cov_105.172534	72406	115.452	115.452	149.409
NODE_231_length_71594_cov_5.422846	71594	6.53695	6.53695	5.36593
NODE_232_length_71590_cov_13.748095	71590	15.2144	15.2144	16.9942
NODE_233_length_71576_cov_20.623523	71576	20.8696	20.8696	19.9877
NODE_234_length_71479_cov_189.904780	71479	219.61	219.61	325.73
NODE_235_length_71433_cov_7.089888	71433	8.34562	8.34562	9.6472
NODE_236_length_71238_cov_14.581852	71238	15.8719	15.8719	15.046
NODE_237_length_71030_cov_89.277577	71030	93.5398	93.5398	179.275
NODE_238_length_70123_cov_7.137381	70123	8.59376	8.59376	9.38085
NODE_239_length_70093_cov_7.446486	70093	8.87184	8.87184	9.21088
NODE_240_length_69675_cov_101.670583	69675	117.379	117.379	110.601
NODE_241_length_69335_cov_100.768158	69335	116.349	116.349	114.872
NODE_242_length_69322_cov_5.330893	69322	6.29117	6.29117	6.46225
NODE_243_length_69134_cov_101.942081	69134	117.729	117.729	142.34
NODE_244_length_69008_cov_38.726277	69008	15.0691	15.0691	14.8749
NODE_245_length_68978_cov_100.756656	68978	116.17	116.17	129.932
NODE_246_length_68545_cov_39.109768	68545	15.6174	15.6174	14.5534
NODE_247_length_68062_cov_83.044481	68062	95.5139	95.5139	103.998
NODE_248_length_68024_cov_90.590343	68024	95.2253	95.2253	100.719
NODE_249_length_67745_cov_9.003590	67745	10.5447	10.5447	10.4333
NODE_250_length_67182_cov_5.494823	67182	6.37976	6.37976	5.47845
NODE_251_length_67012_cov_231.477769	67012	270.884	270.884	314.19
NODE_252_length_66378_cov_5.429233	66378	6.37795	6.37795	5.98681
NODE_253_length_66296_cov_7.244063	66296	8.64388	8.64388	9.02211
NODE_254_length_66285_cov_2404.865907	66285	2431.81	2431.81	718408
NODE_255_length_66242_cov_100.654252	66242	116.346	116.346	119.837
NODE_256_length_66052_cov_101.163735	66052	116.009	116.009	123.174
NODE_257_length_65655_cov_5.373582	65655	6.3858	6.3858	6.67016
NODE_258_length_65120_cov_54.918036	65120	59.6719	59.6719	70.1551
NODE_259_length_64807_cov_8.917331	64807	10.3175	10.3175	10.2847
NODE_260_length_64676_cov_102.673976	64676	114.882	114.882	161.636
NODE_261_length_64373_cov_6.775941	64373	8.18109	8.18109	8.3786
NODE_262_length_64251_cov_20.846813	64251	23.8368	23.8368	24.174
NODE_263_length_63972_cov_12.434063	63972	14.3669	14.3669	14.3462
NODE_264_length_63537_cov_9.298793	63537	10.7651	10.7651	10.1609
NODE_265_length_63426_cov_18.350334	63426	20.6051	20.6051	21.9023
NODE_266_length_63300_cov_5.202340	63300	6.13473	6.13473	5.5977
NODE_267_length_63184_cov_82.384514	63184	94.817	94.817	105.84
NODE_268_length_62952_cov_11.336518	62952	13.0061	13.0061	13.6035
NODE_269_length_62928_cov_84.136163	62928	96.4164	96.4164	111.356
NODE_270_length_62926_cov_5.430167	62926	6.31619	6.31619	5.23498
NODE_271_length_61953_cov_236.384940	61953	269.121	269.121	823.648
NODE_272_length_61898_cov_142.894685	61898	157.767	157.767	199.938
NODE_273_length_61797_cov_6.798225	61797	8.24319	8.24319	8.5254
NODE_274_length_61200_cov_102.932619	61200	118.851	118.851	141.969
NODE_275_length_61074_cov_101.185385	61074	116.379	116.379	141.347
NODE_276_length_60731_cov_102.588371	60731	115.554	115.554	152.886
NODE_277_length_60511_cov_232.427005	60511	270.484	270.484	359.183
NODE_278_length_60406_cov_20.378188	60406	23.5126	23.5126	23.6371
NODE_279_length_59835_cov_7.136199	59835	8.59772	8.59772	8.72136
NODE_280_length_59664_cov_101.156839	59664	116.595	116.595	113.413
NODE_281_length_59580_cov_92.026191	59580	96.1203	96.1203	114.024
NODE_282_length_59518_cov_83.545112	59518	94.1614	94.1614	107.459
NODE_283_length_58868_cov_138.197235	58868	149.292	149.292	214.909
NODE_284_length_58725_cov_233.938469	58725	269.217	269.217	595.365
NODE_285_length_58683_cov_20.364638	58683	23.4299	23.4299	26.267
NODE_286_length_58624_cov_143.294080	58624	135.657	135.657	39399.9
NODE_287_length_58309_cov_20.510626	58309	23.6656	23.6656	24.0967
NODE_288_length_58233_cov_101.516965	58233	117.215	117.215	135.35
NODE_289_length_58137_cov_14.423401	58137	15.5907	15.5907	15.867
NODE_290_length_58003_cov_101.048164	58003	115.975	115.975	144.028
NODE_291_length_58001_cov_102.678856	58001	16.7065	16.7065	258.907
NODE_292_length_57929_cov_104.867816	57929	115.278	115.278	175.463
NODE_293_length_57434_cov_9.779292	57434	10.5856	10.5856	13.323
NODE_294_length_57383_cov_131.028625	57383	150.052	150.052	159.629
NODE_295_length_57248_cov_246.733027	57248	282.477	282.477	1873.54
NODE_296_length_56455_cov_12.672305	56455	15.1417	15.1417	16.251
NODE_297_length_56134_cov_9.270868	56134	10.7857	10.7857	12.1813
NODE_298_length_55750_cov_20.062860	55750	22.8243	22.8243	24.9409
NODE_299_length_55685_cov_20.665145	55685	22.6252	22.6252	23.9499
NODE_300_length_54676_cov_9.578880	54676	11.0677	11.0677	11.4817
NODE_301_length_54460_cov_5.569892	54460	6.56864	6.56864	6.81076
NODE_302_length_54306_cov_101.895117	54306	117.626	117.626	131.393
NODE_303_length_54021_cov_5.312197	54021	6.34636	6.34636	6.59417
NODE_304_length_53446_cov_18.535821	53446	20.9215	20.9215	22.2844
NODE_305_length_53324_cov_14.089133	53324	15.2763	15.2763	15.7176
NODE_306_length_53206_cov_133.624184	53206	149.745	149.745	222.743
NODE_307_length_53085_cov_19.919234	53085	22.9198	22.9198	28.838
NODE_308_length_52990_cov_133.483234	52990	151.029	151.029	243.373
NODE_309_length_52595_cov_5.535630	52595	6.56232	6.56232	6.69971
NODE_310_length_52469_cov_233.382589	52469	269.962	269.962	478.041
NODE_311_length_52324_cov_21.802751	52324	25.0998	25.0998	24.9823
NODE_312_length_51823_cov_102.933897	51823	118.711	118.711	133.949
NODE_313_length_51773_cov_102.687556	51773	118.276	118.276	119.937
NODE_314_length_51754_cov_238.454690	51754	274.633	274.633	361.94
NODE_315_length_51742_cov_5.307447	51742	6.32491	6.32491	6.86024
NODE_316_length_51480_cov_233.708838	51480	272.522	272.522	340.614
NODE_317_length_51474_cov_133.130691	51474	152.247	152.247	182.357
NODE_318_length_51291_cov_48.136837	51291	15.9025	15.9025	16.183
NODE_319_length_51191_cov_132.518989	51191	151.511	151.511	244.933
NODE_320_length_51167_cov_83.510682	51167	96.0647	96.0647	97.3006
NODE_321_length_51068_cov_101.527023	51068	116.725	116.725	134.812
NODE_322_length_50824_cov_83.424117	50824	94.4839	94.4839	159.554
NODE_323_length_50156_cov_5.020618	50156	5.90485	5.90485	6.48583
NODE_324_length_50015_cov_100.128363	50015	115.806	115.806	119.979
NODE_325_length_49494_cov_8.914056	49494	10.3122	10.3122	10.3481
NODE_326_length_49407_cov_240.611485	49407	270.346	270.346	368.931
NODE_327_length_49315_cov_83.172270	49315	94.5707	94.5707	151.066
NODE_328_length_49115_cov_8.868671	49115	10.3573	10.3573	10.3948
NODE_329_length_48403_cov_5.236990	48403	6.32717	6.32717	6.42053
NODE_330_length_48315_cov_19.716494	48315	22.6534	22.6534	21.2403
NODE_331_length_48214_cov_100.688739	48214	116.387	116.387	129.18
NODE_332_length_48162_cov_18.785104	48162	21.1013	21.1013	24.8043
NODE_333_length_48056_cov_139.196225	48056	157.449	157.449	268.085
NODE_334_length_47555_cov_14.729221	47555	15.9258	15.9258	16.0282
NODE_335_length_47532_cov_11.206942	47532	13.0743	13.0743	15.1505
NODE_336_length_47283_cov_233.893665	47283	273.612	273.612	327.12
NODE_337_length_47275_cov_5.279712	47275	6.1927	6.1927	5.10568
NODE_338_length_46803_cov_238.466437	46803	274.163	274.163	353.835
NODE_339_length_46746_cov_83.381444	46746	96.0508	96.0508	114.479
NODE_340_length_46418_cov_251.440416	46418	266.67	266.67	971.146
NODE_341_length_46350_cov_232.826785	46350	270.765	270.765	410.221
NODE_342_length_46313_cov_13.390030	46313	14.932	14.932	15.1846
NODE_343_length_46214_cov_85.026084	46214	96.2976	96.2976	108.017
NODE_344_length_46162_cov_59.760796	46162	58.9886	58.9886	79.5786
NODE_345_length_45895_cov_14.212216	45895	15.3883	15.3883	15.9367
NODE_346_length_45760_cov_84.946505	45760	97.3828	97.3828	114.685
NODE_347_length_45294_cov_12.904529	45294	14.3055	14.3055	13.9588
NODE_348_length_45150_cov_51.197472	45150	58.8579	58.8579	57.6454
NODE_349_length_45132_cov_82.983162	45132	93.9224	93.9224	100.169
NODE_350_length_45119_cov_84.259231	45119	94.71	94.71	105.947
NODE_351_length_44473_cov_101.838737	44473	114.495	114.495	205.294
NODE_352_length_43923_cov_102.283988	43923	117.594	117.594	140.867
NODE_353_length_43914_cov_5.223033	43914	6.12211	6.12211	5.965
NODE_354_length_43787_cov_100.645043	43787	115.79	115.79	145.416
NODE_355_length_43765_cov_101.164859	43765	116.01	116.01	148.853
NODE_356_length_43688_cov_130.148741	43688	150.019	150.019	188.013
NODE_357_length_43602_cov_69.170069	43602	61.8045	61.8045	302.153
NODE_358_length_43555_cov_130.158667	43555	150.352	150.352	191.635
NODE_359_length_43456_cov_9.375913	43456	10.7138	10.7138	12.0952
NODE_360_length_43421_cov_131.065351	43421	150.581	150.581	149.148
NODE_361_length_43380_cov_192.293133	43380	219.974	219.974	495.556
NODE_362_length_43224_cov_5.811114	43224	6.95162	6.95162	7.32435
NODE_363_length_42905_cov_14.176546	42905	15.5354	15.5354	16.6321
NODE_364_length_42798_cov_7.064174	42798	8.41896	8.41896	8.4714
NODE_365_length_42473_cov_9.116083	42473	10.6072	10.6072	10.9767
NODE_366_length_42429_cov_137.280077	42429	147.311	147.311	187.475
NODE_367_length_42106_cov_235.420799	42106	271.182	271.182	325.095
NODE_368_length_42080_cov_229.293492	42080	266.117	266.117	651.876
NODE_369_length_42062_cov_5.230962	42062	6.15399	6.15399	5.91261
NODE_370_length_41927_cov_104.450516	41927	114.752	114.752	225.13
NODE_371_length_41783_cov_7.200321	41783	8.49434	8.49434	8.16047
NODE_372_length_41269_cov_233.325375	41269	270.45	270.45	431.083
NODE_373_length_41178_cov_84.569876	41178	94.3685	94.3685	153.952
NODE_374_length_41146_cov_133.180161	41146	146.977	146.977	311.666
NODE_375_length_40963_cov_55.864550	40963	15.3408	15.3408	18.0073
NODE_376_length_40850_cov_5.770928	40850	6.79894	6.79894	6.0595
NODE_377_length_40659_cov_14.401069	40659	15.6814	15.6814	14.5406
NODE_378_length_40606_cov_124.144189	40606	142.661	142.661	245.925
NODE_379_length_40570_cov_101.062767	40570	116.028	116.028	141.841
NODE_380_length_40554_cov_100.678782	40554	116.652	116.652	134.141
NODE_381_length_40463_cov_1852.733964	40463	2111.89	2111.89	70349.4
NODE_382_length_40421_cov_8.901699	40421	10.2328	10.2328	10.2492
NODE_383_length_40278_cov_9.086294	40278	10.6981	10.6981	10.6531
NODE_384_length_40036_cov_239.139441	40036	197.429	197.429	3120.32
NODE_385_length_39993_cov_14.292053	39993	15.1434	15.1434	15.6286
NODE_386_length_39966_cov_100.790534	39966	114.063	114.063	153.746
NODE_387_length_39950_cov_100.499411	39950	115.93	115.93	109.591
NODE_388_length_39678_cov_11.175908	39678	12.731	12.731	13.2527
