contigName	contigLen	totalAvgDepth	idba_ud_perc100_sorted.bam	idba_ud_perc100_sorted.bam-var
contig-100_45	163801	14.5154	14.5154	13.719
contig-100_46	160036	10.5879	10.5879	10.1809
contig-100_47	159944	23.7619	23.7619	26.8025
contig-100_48	153659	117.503	117.503	123.875
contig-100_49	150040	23.495	23.495	23.3231
contig-100_50	149279	10.6371	10.6371	11.4897
contig-100_51	144037	14.9107	14.9107	14.8054
contig-100_52	143686	59.7769	59.7769	63.5904
contig-100_53	143418	8.46832	8.46832	7.83012
contig-100_54	141684	14.7486	14.7486	14.8795
contig-100_55	140830	25.0919	25.0919	24.7519
contig-100_56	139829	23.2061	23.2061	26.1649
contig-100_57	138762	10.5488	10.5488	10.2982
contig-100_58	138306	23.0819	23.0819	20.1508
contig-100_59	138048	14.6584	14.6584	15.0652
contig-100_60	136651	8.2951	8.2951	8.38653
contig-100_61	136078	15.0704	15.0704	15.1925
contig-100_62	133128	23.0609	23.0609	20.5914
contig-100_63	131747	8.86979	8.86979	9.3917
contig-100_64	131248	59.4639	59.4639	65.9824
contig-100_65	129966	59.2692	59.2692	54.1276
contig-100_66	129375	23.7832	23.7832	25.5013
contig-100_67	129049	14.9085	14.9085	14.6112
contig-100_68	128422	8.61807	8.61807	8.00304
contig-100_69	128318	23.0459	23.0459	22.0495
contig-100_70	127852	22.8726	22.8726	22.6189
contig-100_71	127120	117.434	117.434	117.578
contig-100_72	126980	8.88556	8.88556	8.80498
contig-100_73	123995	23.4018	23.4018	22.6835
contig-100_74	120294	116.581	116.581	111.782
contig-100_75	119311	14.5938	14.5938	15.2679
contig-100_76	118645	23.4578	23.4578	23.2382
contig-100_77	117827	23.1494	23.1494	22.7156
contig-100_78	117528	14.9697	14.9697	14.689
contig-100_79	116941	59.5679	59.5679	60.3572
contig-100_80	116939	15.2042	15.2042	14.2192
contig-100_81	116472	116.387	116.387	137.468
contig-100_82	113882	8.86606	8.86606	8.44456
contig-100_83	113423	85.2642	85.2642	106.354
contig-100_84	113088	15.1609	15.1609	15.7148
contig-100_85	112653	10.7789	10.7789	10.832
contig-100_86	111250	150.53	150.53	161.045
contig-100_87	110440	15.302	15.302	13.155
contig-100_88	109869	14.9991	14.9991	15.2058
contig-100_89	108558	150.374	150.374	147.644
contig-100_90	108274	8.23468	8.23468	8.89523
contig-100_91	107799	23.4881	23.4881	23.4153
contig-100_92	106963	23.0753	23.0753	22.9188
contig-100_93	106537	58.819	58.819	66.0072
contig-100_94	105723	14.4682	14.4682	15.5121
contig-100_95	105570	14.5464	14.5464	14.6264
contig-100_96	105167	22.9926	22.9926	26.3581
contig-100_97	104466	8.64394	8.64394	8.20568
contig-100_98	103066	21.7635	21.7635	22.3792
contig-100_99	102372	10.6036	10.6036	10.6935
contig-100_100	101571	115.376	115.376	127.057
contig-100_101	101309	151.179	151.179	168.664
contig-100_102	101095	8.44598	8.44598	7.93221
contig-100_103	100576	60.042	60.042	61.6499
contig-100_104	100294	117.078	117.078	116.078
contig-100_105	99944	14.6622	14.6622	12.6888
contig-100_106	99877	8.26889	8.26889	7.82167
contig-100_107	98410	61.285	61.285	66.321
contig-100_108	98241	10.6406	10.6406	9.95256
contig-100_109	97718	151.558	151.558	168.146
contig-100_110	97322	59.0257	59.0257	73.0246
contig-100_111	97291	96.0045	96.0045	102.057
contig-100_112	96825	59.5206	59.5206	68.4424
contig-100_113	96481	59.6579	59.6579	61.3886
contig-100_114	95913	150.864	150.864	167.402
contig-100_115	95089	116.907	116.907	110.628
contig-100_116	94988	8.78053	8.78053	8.57575
contig-100_117	93737	8.6736	8.6736	9.08988
contig-100_118	93145	22.8748	22.8748	22.9009
contig-100_119	92291	21.4415	21.4415	20.1244
contig-100_120	91852	8.88047	8.88047	10.1438
contig-100_121	91053	20.9961	20.9961	22.8692
contig-100_122	90969	10.6727	10.6727	9.92046
contig-100_123	90388	20.7687	20.7687	23.8275
contig-100_124	89572	20.9639	20.9639	21.0507
contig-100_125	89118	150.575	150.575	171.785
contig-100_126	87434	115.332	115.332	120.523
contig-100_127	87320	117.279	117.279	120.936
contig-100_128	87118	273.24	273.24	297.78
contig-100_129	86590	8.70934	8.70934	8.38944
contig-100_130	86230	118.474	118.474	113.226
contig-100_131	86080	11.9772	11.9772	39.9569
contig-100_132	84687	14.5503	14.5503	13.9813
contig-100_133	84369	10.7634	10.7634	11.1251
contig-100_134	84088	116.74	116.74	127.588
contig-100_135	84005	21.348	21.348	23.6257
contig-100_136	83988	8.59337	8.59337	8.52188
contig-100_137	83653	21.2014	21.2014	20.2078
contig-100_138	83345	8.65703	8.65703	8.41161
contig-100_139	82857	116.972	116.972	125.236
contig-100_140	82405	151.746	151.746	157.26
contig-100_141	81900	23.688	23.688	21.3321
contig-100_142	81062	8.44127	8.44127	9.00321
contig-100_143	80586	23.5842	23.5842	24.6945
contig-100_144	80515	150.54	150.54	158.813
contig-100_145	80342	23.686	23.686	23.7523
contig-100_146	80291	23.8585	23.8585	24.4533
contig-100_147	79787	15.161	15.161	15.1548
contig-100_148	79771	116.881	116.881	127.608
contig-100_149	79083	8.42045	8.42045	8.39017
contig-100_150	78817	151.609	151.609	174.571
contig-100_151	78781	115.785	115.785	117.759
contig-100_152	78063	15.3303	15.3303	15.8474
contig-100_153	77304	8.47596	8.47596	7.6073
contig-100_154	77059	23.3214	23.3214	23.567
contig-100_155	76409	116.754	116.754	130.879
contig-100_156	76385	14.8396	14.8396	14.2298
contig-100_157	76012	59.2547	59.2547	60.6365
contig-100_158	75088	116.41	116.41	115.904
contig-100_159	74827	6.67966	6.67966	6.33465
contig-100_160	73969	21.4715	21.4715	19.7067
contig-100_161	73631	150.983	150.983	172.217
contig-100_162	72460	8.11756	8.11756	8.10637
contig-100_163	72221	58.3281	58.3281	62.1406
contig-100_164	72179	117.4	117.4	125.709
contig-100_165	72014	10.7771	10.7771	9.27978
contig-100_166	71165	10.6301	10.6301	10.8391
contig-100_167	71047	150.125	150.125	173.084
contig-100_168	71010	116.98	116.98	122.161
contig-100_169	70664	150.592	150.592	169.608
contig-100_170	70457	14.6069	14.6069	13.0182
contig-100_171	70444	149.03	149.03	149.768
contig-100_172	69464	117.318	117.318	112.188
contig-100_173	69423	116.458	116.458	114.204
contig-100_174	69133	14.141	14.141	14.823
contig-100_175	69116	149.886	149.886	169.815
contig-100_176	69109	150.917	150.917	160.485
contig-100_177	68854	8.50495	8.50495	8.35549
contig-100_178	68144	10.5567	10.5567	10.4316
contig-100_179	68052	8.56072	8.56072	9.63892
contig-100_180	67117	8.45872	8.45872	8.70665
contig-100_181	67061	117.205	117.205	139.359
contig-100_182	67004	116.45	116.45	134.082
contig-100_183	66429	14.6964	14.6964	14.9487
contig-100_184	66238	115.77	115.77	119.467
contig-100_185	66054	23.5078	23.5078	22.5006
contig-100_186	65891	115.9	115.9	127.176
contig-100_187	65310	8.15133	8.15133	9.51676
contig-100_188	64931	118.388	118.388	113.57
contig-100_189	64816	14.7061	14.7061	15.3304
contig-100_190	64771	15.0999	15.0999	12.9851
contig-100_191	64498	116.712	116.712	123.889
contig-100_192	64348	10.3051	10.3051	10.3171
contig-100_193	64339	23.8452	23.8452	23.9276
contig-100_194	63730	8.47645	8.47645	8.73849
contig-100_195	63668	116.189	116.189	123.353
contig-100_196	63517	25.3188	25.3188	22.6096
contig-100_197	63273	94.8523	94.8523	105.009
contig-100_198	63260	116.588	116.588	103.229
contig-100_199	62889	10.9851	10.9851	10.2132
contig-100_200	62370	23.0103	23.0103	21.8219
contig-100_201	62192	272.243	272.243	298.077
contig-100_202	62191	14.5594	14.5594	15.7819
contig-100_203	61938	8.7903	8.7903	8.32079
contig-100_204	61682	14.9683	14.9683	13.9029
contig-100_205	61374	8.55014	8.55014	8.14045
contig-100_206	61245	8.23598	8.23598	8.60001
contig-100_207	61023	151.362	151.362	167.37
contig-100_208	60800	15.0573	15.0573	15.8084
contig-100_209	60671	23.5105	23.5105	23.7591
contig-100_210	60630	117.404	117.404	105.133
contig-100_211	60571	152.439	152.439	179.946
contig-100_212	60370	116.788	116.788	113.304
contig-100_213	60069	23.3616	23.3616	21.4191
contig-100_214	59923	8.62122	8.62122	8.50659
contig-100_215	59603	6.38572	6.38572	6.92149
contig-100_216	59201	274.698	274.698	305.449
contig-100_217	59100	96.6198	96.6198	105.116
contig-100_218	58842	20.7411	20.7411	20.7905
contig-100_219	58693	23.4319	23.4319	26.2301
contig-100_220	58674	23.5674	23.5674	24.3776
contig-100_221	58357	23.6708	23.6708	24.0142
contig-100_222	58091	116.315	116.315	130.59
contig-100_223	57472	150.034	150.034	163.175
contig-100_224	57280	8.58953	8.58953	9.51399
contig-100_225	56776	149.028	149.028	128.59
contig-100_226	56774	8.61218	8.61218	8.40216
contig-100_227	56649	271.501	271.501	325.254
contig-100_228	56366	15.143	15.143	16.359
contig-100_229	56314	23.5055	23.5055	22.0317
contig-100_230	56124	10.7712	10.7712	12.1244
contig-100_231	55856	118.657	118.657	123.766
contig-100_232	55849	116.699	116.699	134.569
contig-100_233	55795	14.4984	14.4984	12.7254
contig-100_234	55222	22.5506	22.5506	20.3207
contig-100_235	54881	270.498	270.498	370.188
contig-100_236	54403	10.831	10.831	10.5055
contig-100_237	53361	271.333	271.333	371.362
contig-100_238	53326	116.342	116.342	119.28
contig-100_239	53240	22.0061	22.0061	21.4809
contig-100_240	53130	21.2454	21.2454	21.8229
contig-100_241	53096	22.9102	22.9102	29.1219
contig-100_242	52896	271.11	271.11	397.799
contig-100_243	52818	269.185	269.185	338.238
contig-100_244	52508	25.0934	25.0934	24.4042
contig-100_245	52151	6.69012	6.69012	5.10466
contig-100_246	51861	118.246	118.246	120.859
contig-100_247	51843	6.46269	6.46269	5.74513
contig-100_248	51782	94.94	94.94	98.5366
contig-100_249	51573	149.356	149.356	184.842
contig-100_250	51461	87.8341	87.8341	117.48
contig-100_251	51109	116.73	116.73	133.363
contig-100_252	51064	116.65	116.65	118.78
contig-100_253	50921	9.03595	9.03595	8.82559
contig-100_254	50761	154.892	154.892	219.143
contig-100_255	50408	116.12	116.12	116.305
contig-100_256	50298	14.5993	14.5993	14.1271
contig-100_257	50280	8.47971	8.47971	8.09154
contig-100_258	50164	10.333	10.333	10.1371
contig-100_259	50121	270.701	270.701	358.409
contig-100_260	50050	21.2533	21.2533	21.2565
contig-100_261	49960	21.2896	21.2896	24.6543
contig-100_262	49888	116.414	116.414	131.354
contig-100_263	49307	117.271	117.271	157.134
contig-100_264	49197	10.3626	10.3626	10.3152
contig-100_265	49187	115.647	115.647	133.562
contig-100_266	48984	20.6854	20.6854	22.1347
contig-100_267	48911	94.9578	94.9578	89.1211
contig-100_268	48781	15.2223	15.2223	15.9307
contig-100_269	48693	73.7252	73.7252	85.8781
contig-100_270	48673	6.55751	6.55751	6.21266
contig-100_271	48412	115.169	115.169	108.54
contig-100_272	48403	22.655	22.655	21.0353
contig-100_273	48308	116.109	116.109	152.55
contig-100_274	48302	116.405	116.405	128.224
contig-100_275	48284	8.81267	8.81267	9.06031
contig-100_276	48271	8.61832	8.61832	8.3327
contig-100_277	48244	20.2821	20.2821	19.5405
contig-100_278	48105	8.58889	8.58889	9.05832
contig-100_279	47554	96.2069	96.2069	102.299
contig-100_280	47514	149.457	149.457	150.653
contig-100_281	47404	21.2361	21.2361	20.3171
contig-100_282	47371	273.565	273.565	336.921
contig-100_283	47179	118.213	118.213	123.5
contig-100_284	46996	8.89267	8.89267	8.64729
contig-100_285	46916	10.6979	10.6979	11.1002
contig-100_286	46848	8.44162	8.44162	9.19168
contig-100_287	46802	96.0706	96.0706	113.335
contig-100_288	46343	6.29632	6.29632	5.28714
contig-100_289	46255	271.875	271.875	414.917
contig-100_290	46218	58.6763	58.6763	65.8188
contig-100_291	46146	116.638	116.638	150.205
contig-100_292	45746	58.0821	58.0821	67.738
contig-100_293	45738	273.306	273.306	364.678
contig-100_294	45558	59.323	59.323	66.2024
contig-100_295	45238	58.8652	58.8652	57.6009
contig-100_296	45157	10.2323	10.2323	8.92552
contig-100_297	45096	94.6984	94.6984	105.888
contig-100_298	44976	6.38239	6.38239	6.49026
contig-100_299	44881	119.561	119.561	144.808
contig-100_300	43938	8.06248	8.06248	8.64533
contig-100_301	43876	115.834	115.834	144.85
contig-100_302	43854	116.122	116.122	146.674
contig-100_303	43189	8.52961	8.52961	8.23866
contig-100_304	43074	15.5246	15.5246	16.7486
contig-100_305	43065	21.5136	21.5136	22.0117
contig-100_306	42789	149.861	149.861	163.337
contig-100_307	42748	20.2299	20.2299	23.5083
contig-100_308	42680	116.691	116.691	155.962
contig-100_309	42561	10.6083	10.6083	10.9649
contig-100_310	42402	150.083	150.083	170.698
contig-100_311	42318	146.738	146.738	176.052
contig-100_312	42314	14.3331	14.3331	17.9038
contig-100_313	42303	16.0528	16.0528	16.3701
contig-100_314	42254	272.403	272.403	319.961
contig-100_315	42038	271.898	271.898	361.693
contig-100_316	42007	8.39207	8.39207	8.66332
contig-100_317	41941	273.187	273.187	320.838
contig-100_318	41882	6.72252	6.72252	6.23708
contig-100_319	41820	8.45714	8.45714	8.09497
contig-100_320	41727	60.2185	60.2185	63.9158
contig-100_321	41639	94.7051	94.7051	118.391
contig-100_322	41607	116.226	116.226	153.127
contig-100_323	41568	7.98926	7.98926	7.65959
contig-100_324	41522	8.21848	8.21848	7.62081
contig-100_325	41471	21.1075	21.1075	22.3178
contig-100_326	41099	9.18301	9.18301	9.02576
contig-100_327	41079	151.852	151.852	181.436
contig-100_328	41023	8.33193	8.33193	7.82433
contig-100_329	40905	22.6956	22.6956	17.5671
contig-100_330	40823	94.2628	94.2628	99.7474
contig-100_331	40780	6.97125	6.97125	6.57337
contig-100_332	40767	151.117	151.117	155.117
contig-100_333	40659	8.26752	8.26752	8.17558
contig-100_334	40650	20.7593	20.7593	19.4611
contig-100_335	40617	23.315	23.315	23.6949
contig-100_336	40583	116.627	116.627	135.134
contig-100_337	40489	268.834	268.834	294.391
contig-100_338	40453	94.3651	94.3651	105.075
contig-100_339	40388	15.4068	15.4068	16.0035
contig-100_340	40256	116.169	116.169	130.287
contig-100_341	40061	150.435	150.435	177.371
contig-100_342	40038	115.919	115.919	109.403
contig-100_343	39929	149.778	149.778	136.722
contig-100_344	39920	114.164	114.164	146.112
contig-100_345	39903	14.9957	14.9957	13.2648
contig-100_346	39885	16.054	16.054	15.7786
contig-100_347	39820	70.7701	70.7701	80.6457
contig-100_348	39794	8.4691	8.4691	8.09582
contig-100_349	39763	150.929	150.929	201.755
contig-100_350	39758	8.73364	8.73364	8.54478
contig-100_351	39713	142.515	142.515	252.22
contig-100_352	39679	116.724	116.724	123.534
contig-100_353	39647	10.9092	10.9092	9.7867
contig-100_354	39453	95.9064	95.9064	117.563
contig-100_355	39418	114.3	114.3	168.187
contig-100_356	39085	59.0722	59.0722	66.8543
contig-100_357	39011	8.70842	8.70842	8.03125
contig-100_358	38953	94.4803	94.4803	102.477
contig-100_359	38923	151.937	151.937	201.042
contig-100_360	38842	116.341	116.341	131.808
contig-100_361	38696	149.078	149.078	136.489
contig-100_362	38314	218.359	218.359	445.257
contig-100_363	38280	149.964	149.964	168.878
contig-100_364	38264	96.7235	96.7235	108.917
contig-100_365	38114	270.184	270.184	373.281
contig-100_366	38042	25.9352	25.9352	27.663
contig-100_367	37964	8.52195	8.52195	7.99552
contig-100_368	37853	6.15744	6.15744	5.85866
contig-100_369	37801	21.3787	21.3787	21.3748
contig-100_370	37794	94.9846	94.9846	109.365
contig-100_371	37773	268.685	268.685	452.839
contig-100_372	37703	14.4984	14.4984	15.1833
contig-100_373	37609	148.98	148.98	167.274
contig-100_374	37592	271.976	271.976	374.634
contig-100_375	37448	7.88965	7.88965	7.86089
contig-100_376	37442	152.012	152.012	141.86
contig-100_377	37416	14.7457	14.7457	13.5932
contig-100_378	37377	59.3436	59.3436	68.2199
contig-100_379	37302	8.04858	8.04858	6.66496
contig-100_380	37179	273.713	273.713	385.123
contig-100_381	37071	148.27	148.27	168.548
contig-100_382	37040	21.2617	21.2617	19.4698
contig-100_383	37039	23.4047	23.4047	20.5625
contig-100_384	37008	6.21458	6.21458	5.63068
contig-100_385	36979	8.41546	8.41546	9.64623
contig-100_386	36966	148.247	148.247	173.323
contig-100_387	36912	6.6152	6.6152	5.48212
contig-100_388	36692	116.165	116.165	128.87
contig-100_389	36688	6.51377	6.51377	5.54111
contig-100_390	36418	8.38759	8.38759	7.97228
contig-100_391	36344	8.22299	8.22299	8.51226
contig-100_392	36052	273.143	273.143	365.351
contig-100_393	35943	6.75043	6.75043	7.25161
contig-100_394	35857	95.9169	95.9169	117.285
contig-100_395	35671	6.21095	6.21095	6.54867
contig-100_396	35556	21.1085	21.1085	21.491
contig-100_397	35465	94.9665	94.9665	121.9
contig-100_398	35455	6.49273	6.49273	5.67419
contig-100_399	35445	21.5701	21.5701	25.453
contig-100_400	35289	7.87447	7.87447	8.54791
contig-100_401	35271	8.36724	8.36724	8.88267
contig-100_402	35219	8.32764	8.32764	6.9029
contig-100_403	34888	270.377	270.377	378.106
contig-100_404	34865	10.7901	10.7901	11.1694
contig-100_405	34679	272.516	272.516	387.525
contig-100_406	34583	94.1359	94.1359	97.2866
contig-100_407	34488	20.2162	20.2162	22.3527
contig-100_408	34408	20.9246	20.9246	19.7434
contig-100_409	34374	58.0854	58.0854	60.7416
contig-100_410	34367	114.536	114.536	124.53
contig-100_411	34356	16.3956	16.3956	18.3823
contig-100_412	34349	8.48072	8.48072	7.94823
contig-100_413	34254	273.105	273.105	313.452
contig-100_414	34245	14.5081	14.5081	15.8912
contig-100_415	34026	266.559	266.559	397.127
contig-100_416	33858	151.064	151.064	197.691
contig-100_417	33828	6.28915	6.28915	4.80115
contig-100_418	33828	93.9539	93.9539	116.779
contig-100_419	33761	115.115	115.115	131.832
contig-100_420	33664	8.12204	8.12204	7.65409
contig-100_421	33644	150.158	150.158	214.47
contig-100_422	33619	21.7003	21.7003	28.9595
contig-100_423	33609	21.2772	21.2772	26.0446
contig-100_424	33572	15.7917	15.7917	15.2964
contig-100_425	33310	273.877	273.877	484.29
contig-100_426	33297	14.5932	14.5932	15.6955
contig-100_427	33281	6.74607	6.74607	7.12295
contig-100_428	33220	73.2717	73.2717	66.4245
contig-100_429	33205	86.4757	86.4757	144.797
contig-100_430	33150	271.537	271.537	344.825
contig-100_431	33135	270.204	270.204	344.879
contig-100_432	33110	117.902	117.902	156.42
contig-100_433	33060	116.999	116.999	117.381
contig-100_434	32948	22.9193	22.9193	20.1353
contig-100_435	32876	119.43	119.43	146.799
contig-100_436	32844	8.03233	8.03233	7.72265
contig-100_437	32817	94.6156	94.6156	95.2779
contig-100_438	32771	22.5689	22.5689	21.7929
contig-100_439	32758	115.558	115.558	128.362
contig-100_440	32656	267.749	267.749	443.034
contig-100_441	32592	151.528	151.528	195.306
contig-100_442	32588	20.3873	20.3873	17.3093
contig-100_443	32549	119.476	119.476	150.969
contig-100_444	32402	117.246	117.246	126.602
contig-100_445	32392	94.7238	94.7238	99.0067
contig-100_446	32355	269.679	269.679	404.056
contig-100_447	32350	9.06845	9.06845	10.903
contig-100_448	32286	7.70497	7.70497	7.92764
contig-100_449	32281	269.038	269.038	310.953
contig-100_450	32228	23.1504	23.1504	21.4705
contig-100_451	32208	158.977	158.977	209.256
contig-100_452	32196	15.6003	15.6003	16.2989
contig-100_453	32135	20.6492	20.6492	22.2892
contig-100_454	31828	116.561	116.561	145.893
contig-100_455	31812	270.654	270.654	371.095
contig-100_456	31766	15.5916	15.5916	14.7097
contig-100_457	31743	269.26	269.26	349.787
contig-100_458	31637	267.105	267.105	299.221
contig-100_459	31637	15.451	15.451	11.839
contig-100_460	31621	12.4203	12.4203	11.9216
contig-100_461	31611	14.8303	14.8303	14.9632
contig-100_462	31545	8.75346	8.75346	10.0017
contig-100_463	31531	15.2568	15.2568	15.32
contig-100_464	31496	106.183	106.183	202.118
contig-100_465	31240	274.61	274.61	392.959
contig-100_466	31225	57.8025	57.8025	72.482
contig-100_467	31178	15.0425	15.0425	30.065
contig-100_468	31159	269.722	269.722	417.533
contig-100_469	30814	95.1825	95.1825	98.96
contig-100_470	30811	94.0722	94.0722	113.63
contig-100_471	30777	8.21821	8.21821	7.78229
contig-100_472	30772	270.614	270.614	367.123
contig-100_473	30756	267.77	267.77	329.896
contig-100_474	30647	268.121	268.121	423.465
contig-100_475	30618	9.01126	9.01126	8.42843
contig-100_476	30597	6.73945	6.73945	5.65123
contig-100_477	30595	15.0428	15.0428	14.2553
contig-100_478	30503	6.82351	6.82351	7.18856
contig-100_479	30449	152.203	152.203	173.38
contig-100_480	30377	151.465	151.465	187.507
contig-100_481	30372	150.343	150.343	190.499
contig-100_482	30368	271.003	271.003	361.92
contig-100_483	30277	60.0114	60.0114	85.0352
contig-100_484	30276	10.4	10.4	10.142
contig-100_485	30188	272.032	272.032	371.261
contig-100_486	30177	116.232	116.232	138.749
contig-100_487	30022	117.118	117.118	177.802
contig-100_488	29999	151.629	151.629	186.761
contig-100_489	29915	8.41085	8.41085	7.22667
contig-100_490	29855	94.2934	94.2934	110.241
contig-100_491	29784	271.685	271.685	400.401
contig-100_492	29562	8.4662	8.4662	7.3445
contig-100_493	29511	271.998	271.998	354.16
contig-100_494	29410	115.161	115.161	124.426
contig-100_495	29305	270.67	270.67	458.39
contig-100_496	29243	117.13	117.13	160.004
contig-100_497	29152	25.9632	25.9632	25.2717
contig-100_498	29119	15.8097	15.8097	22.327
contig-100_499	29082	278.721	278.721	391.854
contig-100_500	29047	8.35727	8.35727	7.4025
contig-100_501	29036	115.609	115.609	106.8
contig-100_502	29015	275.061	275.061	393.774
contig-100_503	29002	14.4419	14.4419	13.2373
contig-100_504	28988	114.371	114.371	128.668
contig-100_505	28952	116.106	116.106	122.404
contig-100_506	28923	6.03441	6.03441	7.23236
contig-100_507	28904	95.6641	95.6641	102.605
contig-100_508	28854	14.9744	14.9744	14.9146
contig-100_509	28853	7.83831	7.83831	7.42183
contig-100_510	28726	15.5876	15.5876	13.6405
contig-100_511	28630	117.746	117.746	167.308
contig-100_512	28493	114.913	114.913	111.309
contig-100_513	28450	272.38	272.38	393.959
contig-100_514	28417	114.45	114.45	175.713
contig-100_515	28406	15.0192	15.0192	17.1534
contig-100_516	28367	151.682	151.682	203.234
contig-100_517	28321	275.147	275.147	418.9
contig-100_518	28294	271.851	271.851	373.959
contig-100_519	28208	268.547	268.547	412.879
contig-100_520	28118	8.20477	8.20477	7.96709
contig-100_521	28062	10.6022	10.6022	10.4907
contig-100_522	28030	6.32966	6.32966	7.26793
contig-100_523	27934	21.0941	21.0941	21.8821
contig-100_524	27837	8.40431	8.40431	8.33404
contig-100_525	27807	8.74404	8.74404	9.07388
contig-100_526	27802	7.00383	7.00383	8.58888
contig-100_527	27734	26.6676	26.6676	31.2261
contig-100_528	27720	20.121	20.121	16.0475
contig-100_529	27593	24.2974	24.2974	24.2442
contig-100_530	27592	93.8091	93.8091	113.886
contig-100_531	27549	269.281	269.281	470.302
contig-100_532	27432	269.777	269.777	395.235
contig-100_533	27399	270.528	270.528	436.613
contig-100_534	27343	10.3625	10.3625	10.2044
contig-100_535	27282	152.072	152.072	196.941
contig-100_536	27260	22.7223	22.7223	25.4734
contig-100_537	27259	117.102	117.102	141.347
contig-100_538	27229	6.28779	6.28779	5.98668
contig-100_539	27203	139.68	139.68	181.658
contig-100_540	27081	270.804	270.804	936.313
contig-100_541	27045	95.7969	95.7969	116.732
contig-100_542	27031	14.9404	14.9404	16.4516
contig-100_543	27030	117.276	117.276	143.806
contig-100_544	26967	94.0888	94.0888	106.083
contig-100_545	26913	117.031	117.031	126.485
contig-100_546	26858	272.701	272.701	425.117
contig-100_547	26848	15.0776	15.0776	14.953
contig-100_548	26824	272.374	272.374	417.296
contig-100_549	26717	158.857	158.857	275.776
contig-100_550	26713	8.65042	8.65042	10.0003
contig-100_551	26603	96.2289	96.2289	115.444
contig-100_552	26560	15.6304	15.6304	20.384
contig-100_553	26550	5.85155	5.85155	5.10866
contig-100_554	26512	115.102	115.102	132.347
contig-100_555	26509	95.3344	95.3344	93.2117
contig-100_556	26405	5.58377	5.58377	4.56768
contig-100_557	26397	15.5742	15.5742	14.8004
contig-100_558	26371	11.5041	11.5041	13.7775
contig-100_559	26363	10.2921	10.2921	10.3475
contig-100_560	26348	272.056	272.056	469.007
contig-100_561	26313	151.134	151.134	172.83
contig-100_562	26238	12.6627	12.6627	13.6772
contig-100_563	26236	272.605	272.605	417.125
contig-100_564	26192	14.8717	14.8717	15.9445
contig-100_565	26176	6.12146	6.12146	4.436
contig-100_566	26092	115.99	115.99	164.582
contig-100_567	26035	266.998	266.998	447.996
contig-100_568	25979	267.933	267.933	365.31
contig-100_569	25978	14.5081	14.5081	12.305
contig-100_570	25903	92.8731	92.8731	111.302
contig-100_571	25869	114.965	114.965	133.681
contig-100_572	25835	268.903	268.903	434.915
contig-100_573	25805	20.6782	20.6782	22.1026
contig-100_574	25797	271.159	271.159	388.428
contig-100_575	25768	7.89453	7.89453	8.0636
contig-100_576	25745	116.236	116.236	160.564
contig-100_577	25677	267.52	267.52	448.499
contig-100_578	25651	272.368	272.368	478.057
contig-100_579	25634	9.32369	9.32369	8.89434
contig-100_580	25484	8.25515	8.25515	8.81649
contig-100_581	25474	24.9795	24.9795	23.0215
contig-100_582	25449	221.018	221.018	308.797
contig-100_583	25265	6.29457	6.29457	5.63241
